Var,0049,0182,0081,0075,0128,0065,0093,0129,0224,0061,0019,0038,0073,0198,0036,0046,0130,0122,0216,0231,0057,0138,0229,0234,0078,0223,0099,0236,0232,0031,0227,0233,0125,0094,0186,0211,0059,0226,0083,0225,0058,0220,0136,0003,0011,0133,1490,0188,0184,0113,0200,0235,0219,0132,0238,0121,0091,,,,0151
ACTIVO,BANCO SANTANDER ,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO DE SABADELL,BANCO POPULAR ESPAÑOL ,BANKINTER ,BARCLAYS BANK ,BANCO DE VALENCIA,BBVA BANCO DE FINANCIACIÓN,SANTANDER CONSUMER FINANCE,BANCA MARCH,DEUTSCHE BANK S.A.E.,BANESTO BANCO DE EMISIONES ,OPEN BANK,BANCO COOPERATIVO ESPAÑOL ,SANTANDER INVESTMENT,BANCO GALLEGO,BANCO CAIXA GERAL,CITIBANK ESPAÑA ,TARGOBANK,DEXIA SABADELL,BANCO DEPOSITARIO BBVA ,BANKOA ,BANCOPOPULAR-E,BANCO CAMINOS,BANCA PUEYO,GENERAL ELECTRIC CAPITAL BANK,BANKIA BANCA PRIVADA,LLOYDS BANK INTERNATIONAL,BANCO INVERSIS,BANCO ETCHEVERRÍA ,UNO-E BANK,POPULAR BANCA PRIVADA,BANCOFAR ,RBC INVESTOR SERVICES ESPAÑA,BANCO MEDIOLANUM,EBN BANCO DE NEGOCIOS,BANCO DE MADRID ,UBS BANK,RENTA 4 BANCO,BANCO CETELEM,BNP PARIBAS ESPAÑA ,BANCO FINANTIA SOFINLOC ,ARESBANK ,BANCO DE DEPÓSITOS,ALLFUNDS BANK,NUEVO MICRO BANK,SELF TRADE BANK,BANCO ALCALÁ ,BANCO EUROPEO DE FINANZAS,BANCO INDUSTRIAL DE BILBAO ,PRIVAT BANK DEGROOF,BANCO PICHINCHA ESPAÑA,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNAL.,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO POPULAR PASTOR,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,TOTAL BANCOS,,ACTIVO,JP MORGAN CHASE BANK NATIONAL ASSOCIATION
3. 2. Crédito a la clientela  ,"1,64,33,533",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,64,33,533",,3. 2. Crédito a la clientela  ,0
3. 3. Valores representativos de deuda ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,210",0,0,0,0,0,0,0,0,0,0,0,0,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,124",,3. 3. Valores representativos de deuda ,0
3. 4. Instrumentos de capital  ,0,0,0,0,"48,453",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,171",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"53,624",,3. 4. Instrumentos de capital  ,0
Pro-memoria: Prestados o en garantía  ,"2,30,60,606",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,30,60,606",,Pro-memoria: Prestados o en garantía  ,0
4. ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA  ,"5,14,12,926","3,46,28,086","2,59,02,444","1,42,40,836","1,05,08,117","1,83,204","6,92,126",61,0,"10,02,630","5,858",0,0,"18,22,418",705,"1,11,531","84,974","13,324",179,"48,81,584",0,"1,02,196","3,39,367","6,14,458","3,00,572",0,"1,26,348","2,486","8,30,383","82,614",328,"4,98,442",32,26,"9,84,688","53,658","1,55,573",127,"2,23,711",0,226,"2,93,943",0,0,"13,343",0,"29,146",63,"2,570",140,0,"11,730",0,0,0,0,"1,967","15,01,59,140",,4. ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA  ,22
4. 1. Valores representativos de deuda ,"5,02,30,042","3,15,11,186","2,49,27,028","1,40,87,412","1,04,26,738","1,71,118","6,71,076",0,0,"8,99,812",306,0,0,"18,07,297",0,"87,871","84,659",0,121,"48,81,584",0,"1,01,018","3,39,367","6,04,715","2,85,380",0,"1,26,286","2,015","8,22,809","77,318",0,"4,88,896",0,0,"9,36,290","6,966","1,47,904",0,"1,99,518",0,6,"2,93,942",0,0,"13,236",0,"29,146",0,"2,570",0,0,"11,730",0,0,0,0,0,"14,42,75,362",,4. 1. Valores representativos de deuda ,0
4. 2. Instrumentos de capital  ,"11,82,884","31,16,900","9,75,416","1,53,424","81,379","12,086","21,050",61,0,"1,02,818","5,552",0,0,"15,121",705,"23,660",315,"13,324",58,0,0,"1,178",0,"9,743","15,191",0,62,471,"7,574","5,296",328,"9,546",32,26,"48,398","46,692","7,669",127,"24,193",0,220,1,0,0,107,0,0,63,0,140,0,0,0,0,0,0,"1,967","58,83,777",,4. 2. Instrumentos de capital  ,22
Pro-memoria: Prestados o en garantía  ,"1,15,63,452","1,25,71,981","74,36,353","81,49,256","50,42,550",0,"3,37,748",0,0,"1,20,896",0,0,0,"7,75,908",0,0,"82,500",0,0,"16,83,466",0,0,0,"3,46,395","61,416",0,0,"1,321",0,0,0,0,0,0,"4,95,401","6,252",0,0,"1,71,707",0,0,"33,945",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,88,80,547",,Pro-memoria: Prestados o en garantía  ,0
5. INVERSIONES CREDITICIAS  ,"26,31,51,058","24,77,10,518","11,20,35,869","10,89,75,811","4,28,79,227","2,24,77,523","1,21,54,580","79,52,175","1,88,74,769","81,51,585","1,51,08,861","82,47,450","53,14,651","1,90,36,115","57,02,262","20,23,026","50,51,164","24,99,862","21,46,956","1,29,51,347","12,45,220","15,05,922","8,39,678","6,32,310","7,06,954","7,68,377","7,92,857","16,36,273","3,02,683","6,40,802","12,68,744","1,91,277","16,58,573","8,75,280","2,40,648","2,67,907","2,06,127","14,85,078","3,40,082","28,44,505","4,49,633","57,003","4,63,412","2,10,364","3,61,612","4,60,210","99,804","52,043","1,01,855","93,107","1,20,614","1,22,106","1,88,146","19,142","18,020","18,054","10,939","94,37,40,170",,5. INVERSIONES CREDITICIAS  ,"10,78,254"
5. 1. Depósitos en entidades de crédito ,"4,70,53,824","2,07,28,712","56,65,919","56,23,976","9,16,931","6,70,249","3,95,047","79,52,164","1,11,44,495","7,72,334","16,07,199","82,47,450","52,23,228","1,77,63,004","44,94,900","42,279","5,78,625","8,48,680","75,437","14,27,051","12,38,446","87,390","9,454","37,449","51,810","10,842","6,59,049","26,599","1,17,782","1,46,395","2,46,838","1,14,840","13,427","5,54,773","74,279","1,19,004","85,296","3,92,214","2,69,073","79,178","90,036","56,852","3,11,433","1,02,734","3,53,989",297,"78,813","35,280","1,01,719","93,107","21,259","39,452","69,423","19,142","18,020","18,043","2,090","14,69,77,331",,5. 1. Depósitos en entidades de crédito ,"6,03,703"
5. 2. Crédito a la clientela  ,"19,79,62,434","22,48,62,847","10,40,51,209","10,23,10,269","4,18,74,932","2,18,07,274","1,04,70,690",11,"73,84,610","73,79,251","1,35,01,662",0,"24,467","12,61,410","12,07,362","19,80,747","40,66,272","13,77,807","20,71,519","1,15,24,296","6,774","14,18,533","8,30,224","5,94,861","6,55,144","7,57,535","1,33,808","16,09,674","1,84,901","4,94,407","10,21,906","76,437","16,45,146","3,20,507","1,66,369","1,48,903","1,20,831","10,92,864","71,009","27,65,327","3,59,597",151,"1,51,979","1,07,630","7,623","4,59,913","20,991","16,763",136,0,"99,319","82,654","1,18,723",0,0,11,"1,000","77,06,60,719",,5. 2. Crédito a la clientela  ,"4,74,551"
