Var,0182,0049,0030,0081,0075,0128,0072,0065,0093,0224,0004,1004,0019,0061,0042,0038,0129,0036,0082,0073,0097,0046,0231,0198,0095,0094,0086,0223,0130,0122,0185,0024,0227,0057,0216,0138,0233,0078,0059,0232,0186,0142,0228,0099,0217,0031,0229,0003,0125,0211,0226,0225,0058,0063,0220,0113,0009,0188,0136,0133,0011,0200,0021,0205,0219,0132,0184,0115,0121,0091,0083,,
3. OTROS ACTIVOS FINANC. A VALOR RAZONABLE CON CAMBIOS EN PÉR.Y GAN. ..........................................................................................................,0,"3,86,74,600",0,0,0,"24,268","59,884",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20,644",0,0,0,0,0,3,0,0,0,0,0,0,0,0,"34,754",0,259,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,88,14,441",
3.1. Depósitos en entidades de crédito ..........................................................................................................,0,"3,83,28,698",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,83,28,698",
3.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3.3. Crédito a la clientela ......................................................................................................................................................................,0,"3,45,902",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,45,902",
3.4. Valores representativos de deuda ..........................................................................................................,0,0,0,0,0,0,"39,431",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20,644",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"60,334",
3.5. Otros instrumentos de capital ..........................................................................................................,0,0,0,0,0,"24,268","20,453",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"34,754",0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"79,507",
Pro-memoria: Prestados o en garantía ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4. ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA ..........................................................................................................,"1,58,60,262","1,72,08,084","1,05,11,819","42,57,874","61,01,267","57,51,749","15,37,884","13,62,972","2,12,272","16,354","72,100","27,97,037","6,29,609","2,02,882","1,13,586",0,61,832,"9,581",0,"9,972","4,16,249","24,41,484","8,22,826","15,446","44,474","3,25,847",0,"9,271","6,440","10,384","5,978","1,82,621",0,"2,011","97,670","2,402","64,602","7,253",0,"71,885","91,101",32,"73,955",244,"9,773","2,011","1,319",32,"1,59,437",0,0,"3,434",8,"6,395","1,55,026",201,"42,392",0,7,2,"2,560",0,30,"1,019",0,"3,750",0,0,0,0,"7,17,35,768",
4.1. Valores representativos de deuda ..........................................................................................................,"64,92,858","1,44,92,537","1,04,13,865","41,60,194","60,41,693","57,15,400","10,78,289","13,60,168","65,898","15,007","72,052","27,97,037","2,00,754","1,31,455","44,611",0,0,0,"9,502",0,"9,646","3,82,808","24,41,484","8,14,429","14,286","39,385","80,416",0,"9,023",0,8,"5,929","1,82,297",0,"2,011","97,172","2,011","29,829",0,0,"71,437","84,014",0,"73,941",0,"3,861","2,011",0,0,"23,508",0,0,0,0,"6,394",0,0,0,0,0,0,0,0,0,"1,019",0,0,0,0,0,0,"5,74,68,239",
4.2. Otros instrumentos de capital ..........................................................................................................,"93,67,404","27,15,547","97,954","97,680","59,574","36,349","4,59,595","2,804","1,46,374","1,347",48,0,"4,28,855","71,427","68,975",0,61,832,79,0,326,"33,441",0,"8,397","1,160","5,089","2,45,431",0,248,"6,440","10,376",49,324,0,0,498,391,"34,773","7,253",0,448,"7,087",32,14,244,"5,912",0,"1,319",32,"1,35,929",0,0,"3,434",8,1,"1,55,026",201,"42,392",0,7,2,"2,560",0,30,0,0,"3,750",0,0,0,0,"1,42,67,529",
Pro-memoria: Prestados o en garantía ..........................................................................................................,"39,08,254","42,37,864","66,75,753","15,36,754","49,592","39,06,940","7,98,600","8,88,937",14,0,159,"3,37,117","8,975","81,725",0,0,0,0,71,0,326,"1,78,899","43,477","69,482","1,267",0,829,0,"9,023",0,4,0,"1,25,359",0,0,0,0,0,0,0,"50,184","40,585",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,29,50,190",
5. INVERSIONES CREDITICIAS  .................................................................................................................................................................,"24,58,14,982","17,99,29,570","9,04,15,274","6,44,17,794","6,69,23,993","4,15,82,017","2,05,39,732","2,59,13,615","1,76,73,787","1,54,47,957","1,22,17,668","89,76,791","1,51,03,644","81,23,508","88,92,152","78,96,768","52,75,191","1,03,34,935","47,61,117","40,73,117","43,23,890","34,88,686","58,93,586","49,81,498","37,79,037","26,58,984","62,37,517","25,05,739","73,21,953","33,02,037","21,82,790","20,85,119","13,51,630","10,19,977","24,17,660","14,64,105","10,45,121","6,47,707","8,90,734","7,43,451","5,17,849","4,09,981","4,15,965","3,03,028","18,86,680","4,24,167","10,73,243","3,86,656","11,89,671","4,93,263","13,41,129","32,83,408","2,78,420","33,88,525","4,30,836","47,884","56,59,596","1,36,932","3,16,065","96,277","1,85,533","70,703","34,163","12,47,285","96,769","33,276","1,19,705","20,380","16,843","12,932","9,109","93,65,81,106",
5.1. Depósitos en entidades de crédito ..........................................................................................................,"3,67,86,463","2,17,04,722","1,90,53,702","52,96,900","1,63,56,865","49,22,449","10,09,617","20,44,648","4,85,418","1,11,34,640","10,67,236","12,46,738","33,68,651","3,47,145","11,50,605","78,96,768","52,75,191","80,06,202","29,291","35,67,411","1,08,696","4,41,684","49,814","46,90,807","56,099","20,94,793","18,29,480","20,230","32,98,240","18,26,924","7,44,425","1,52,556","2,51,203","10,12,343","12,340","82,076","8,52,248","93,283","1,36,464","4,76,180","3,34,720","65,537","4,01,646","2,75,829","21,770","66,454",111,"3,65,392","20,520","1,81,662","6,52,172","33,315","96,706","33,88,413","3,008","47,884","13,81,537","1,26,802","3,10,891","76,963","1,64,394","32,000","19,248",35,"55,132","33,276","78,344","20,374","16,843","7,925","9,109","17,72,68,559",
5.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,"1,00,045",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,00,045",
5.3. Crédito a la clientela ......................................................................................................................................................................,"20,44,24,854","14,80,95,579","7,01,56,730","5,85,82,451","5,00,56,318","3,63,62,148","1,94,24,932","2,37,37,386","1,69,65,892","43,12,308","1,11,07,399","77,30,045","1,16,77,597","77,10,584","76,62,918",0,0,"23,25,878","47,12,337","1,98,295","41,97,967","30,18,325","58,35,553","2,40,413","37,01,226","1,03,857","43,98,094","24,85,308","40,06,584","13,87,903","14,33,529","19,25,657","11,00,335","7,624","24,04,164","13,62,313","1,92,243","5,53,997","7,53,462","1,42,509","1,59,795","3,39,841",420,"22,229","18,64,509","3,56,370","10,73,052","21,262","11,65,528","3,09,890","6,65,429","32,41,250","1,77,267",108,"4,18,425",0,"42,71,460","10,035","4,574","19,314",121,"35,441","14,912","12,47,148","31,609",0,34,0,0,"5,006",0,"73,99,49,743",
5.4. Valores representativos de deuda ..........................................................................................................,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,"3,01,950",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,36,0,0,"10,000",0,"41,260",0,0,0,0,"3,53,512",
5.5. Otros activos financieros ......................................................................................................................................................................,"46,03,665","1,01,29,269","12,04,842","5,38,443","4,10,765","2,97,420","1,05,183","1,31,581","2,22,477",761,"43,033",8,"57,396","65,779","78,629",0,0,"2,855","19,489","5,461","17,227","28,677","8,219","50,278","21,712","4,60,334","9,943",201,"17,129","87,210","4,836","6,906",92,10,"1,156","19,716",630,427,808,"1,24,762","23,334","4,603","13,899","4,970",401,"1,343",80,2,"3,623","1,711","23,528","8,843","4,447",4,"9,403",0,"6,599",77,600,0,"21,018","3,226",3,102,28,0,67,6,0,1,0,"1,89,09,247",
Pro-memoria: Prestados o en garantía ..........................................................................................................,"37,86,179","96,86,209",0,"13,06,376","1,39,82,084",0,"26,08,435","20,36,706","39,25,168","13,50,000","7,92,458",0,"20,54,624",0,"8,66,199",0,0,"22,44,989","4,27,481",0,"2,80,327",0,0,0,"3,47,909","18,86,927","12,31,241",0,"19,480",0,"2,19,436","1,68,666",0,0,0,"78,948",0,0,"49,030","2,85,627","1,24,407",545,"3,15,805","36,550",0,"1,100",0,"26,501",0,"1,76,046",0,0,0,0,"2,48,190",0,"7,51,221","1,20,535",0,0,0,0,0,0,0,0,0,0,0,0,0,"5,14,35,399",
6. CARTERA DE INVERSIÓN A VENCIMIENTO ..........................................................................................................,"55,72,930",0,0,0,426,0,"18,882",0,601,0,0,0,0,0,"59,787",0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625,0,0,0,"6,986",0,0,0,0,0,0,0,0,"56,60,251",
Pro-memoria: Prestados o en garantía ..........................................................................................................,"20,14,943",0,0,0,0,0,0,0,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625,0,0,0,0,0,0,0,0,0,0,0,0,"20,15,959",
9. AJUSTES A ACTIVOS FINANCIEROS POR MACRO-COBERTURAS ..........................................................................................................,0,0,0,0,0,"7,292",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,292",
10. DERIVADOS DE COBERTURA ..........................................................................................................,"18,84,115","12,97,506","4,15,101","3,09,121","1,78,766","71,427","3,849","1,41,797","3,949","43,925","2,049","1,72,415","17,122","12,563","1,226",0,0,36,"1,728","3,379","1,300","4,744","6,63,635",21,956,0,0,0,"4,581",0,"17,905",539,0,0,6,0,"14,125",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,"13,754",0,0,"11,749",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"52,93,398",
11. ACTIVOS NO CORRIENTES EN VENTA ..........................................................................................................,"51,134","33,193","35,166","11,401","41,692","3,176","6,113","2,582","3,454","2,162","13,219",0,143,667,"2,551",0,0,0,"6,484",0,"5,147",538,0,0,"2,952",0,0,33,"2,393",0,0,"1,300",0,0,229,430,0,33,0,0,0,21,0,0,405,39,0,0,94,"1,030",0,0,0,0,23,1,374,0,"4,074",0,0,0,0,692,0,3,0,0,0,0,0,"2,32,948",
11.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11.2. Crédito a la clientela ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11.3. Valores representativos de deuda ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11.4. Instrumentos de capital ......................................................................................................................................................................,879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,007",0,0,0,0,0,0,0,0,0,0,0,0,"4,886",
11.5. Activo material ...............................................................................................................................................................................,"50,255","33,193","35,166","11,401","41,692","3,176","6,113","2,582","3,454","2,162","13,219",0,143,667,"2,551",0,0,0,"6,484",0,"5,147",538,0,0,"2,952",0,0,33,"2,393",0,0,"1,300",0,0,229,430,0,33,0,0,0,21,0,0,405,39,0,0,94,"1,030",0,0,0,0,23,1,374,0,67,0,0,0,0,692,0,3,0,0,0,0,0,"2,28,062",
11.6. Resto de activos ..................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12. PARTICIPACIONES ..................................................................................................................................................................,"2,15,13,423","3,97,62,555","9,35,827","10,89,825","13,12,878","1,36,879","1,09,042","40,818","1,84,722","32,61,093",361,0,"41,439","1,75,775","1,49,595",0,7,"1,15,721",270,3,177,"25,185",0,"19,216",180,"1,035","57,275","3,68,258",103,"1,51,100",0,90,"7,385",0,0,"7,789","4,127","1,119","47,566","1,07,410","28,393","14,537",0,1,30,6,0,0,0,"12,487","9,704",676,"23,290","1,76,207",0,"1,45,119","1,02,807","1,112",0,0,0,"5,436",0,9,0,0,0,0,10,0,0,"7,01,48,072",
