Var,0182,0049,0030,0081,0075,0128,0065,0072,0093,0224,0004,0042,0019,0061,1004,0038,0036,0129,0073,0046,0086,0223,0231,0198,0094,0130,0057,0122,0185,0227,0233,0216,0009,0138,0059,0078,0232,0186,0142,0226,0099,0229,0031,0217,0125,0003,0063,0220,0211,0225,0058,0136,0113,0188,0184,0011,0133,0200,0205,0219,0132,0115,0121,0091,0083,0234,,,,0151,1460
3. 1. Depósitos en entidades de crédito  ,0,"89,51,396",0,0,0,0,0,0,0,0,0,"1,89,474",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"91,40,870",,3. 1. Depósitos en entidades de crédito  ,0,0
3. 2. Crédito a la clientela  ,0,"8,52,019",0,0,646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,52,665",,3. 2. Crédito a la clientela  ,0,0
3. 3. Valores representativos de deuda ,0,0,0,0,0,0,0,"9,77,234",0,0,0,0,0,0,0,0,0,0,0,"9,677",0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,755","10,00,074",,3. 3. Valores representativos de deuda ,0,0
3. 4. Instrumentos de capital  ,0,0,0,0,0,"9,186",0,"9,305",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,082",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"25,575",,3. 4. Instrumentos de capital  ,0,0
Pro-memoria: Prestados o en garantía  ,0,"54,00,809",0,0,0,0,0,"7,68,000",0,0,0,"1,89,474",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"63,58,283",,Pro-memoria: Prestados o en garantía  ,0,0
4. ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA  ,"1,87,25,378","1,49,90,687","1,09,92,558","51,68,161","99,18,170","84,12,072","10,55,958","14,81,507","6,11,312",0,"72,496","7,63,166","6,02,395","1,41,370","23,76,983",0,"1,979",61,0,"4,40,300","3,06,928",0,"48,16,075","11,41,084","14,213","14,976",0,"6,534","49,314","1,11,255","29,887","2,075",201,"1,14,924","5,378","93,089","1,65,134","1,74,921","63,976","9,643","37,195","6,684","10,451",244,32,0,8,1,"72,471",0,"1,492",0,"55,668","29,951","16,876",499,0,386,0,970,0,0,0,0,0,"66,043","8,31,73,131",,4. ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA  ,22,0
4. 1. Valores representativos de deuda ,"1,18,72,652","1,39,91,422","1,09,40,618","48,96,398","98,23,102","83,93,085","10,54,373","11,01,385","5,15,592",0,"72,454","7,26,989","1,73,843","95,225","23,76,983",0,0,0,0,"4,11,820","1,41,921",0,"48,16,075","11,25,718","12,056","14,699",0,0,"32,553","1,10,941","27,335","2,075",0,"1,13,980",0,"66,012","1,65,134","1,25,975","56,523",0,"36,881","6,684","2,495",0,0,0,0,0,"1,016",0,0,0,0,0,"13,126",0,0,0,0,970,0,0,0,0,0,"53,275","7,33,71,385",,4. 1. Valores representativos de deuda ,0,0
4. 2. Instrumentos de capital  ,"68,52,726","9,99,265","51,940","2,71,763","95,068","18,987","1,585","3,80,122","95,720",0,42,"36,177","4,28,552","46,145",0,0,"1,979",61,0,"28,480","1,65,007",0,0,"15,366","2,157",277,0,"6,534","16,761",314,"2,552",0,201,944,"5,378","27,077",0,"48,946","7,453","9,643",314,0,"7,956",244,32,0,8,1,"71,455",0,"1,492",0,"55,668","29,951","3,750",499,0,386,0,0,0,0,0,0,0,"12,768","98,01,746",,4. 2. Instrumentos de capital  ,22,0
Pro-memoria: Prestados o en garantía  ,"76,93,866","45,68,858","70,48,444","35,48,504","70,85,775","54,74,941","10,55,958","8,69,288","3,11,110",0,528,"6,71,252",0,"62,545","20,057",0,0,0,0,"67,633","10,869",0,"2,96,364","7,20,935",0,"14,699",0,0,0,"76,198",0,0,0,"83,519",0,0,0,"29,737","46,920",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"42,456","3,98,00,456",,Pro-memoria: Prestados o en garantía  ,0,0
5. INVERSIONES CREDITICIAS  ,"27,21,14,078","23,52,95,439","9,87,62,850","6,60,73,836","8,45,22,771","4,43,45,052","2,87,15,768","2,21,94,415","2,07,89,057","2,14,37,486","1,27,48,012","81,04,173","1,59,30,852","86,24,667","82,78,408","97,50,930","93,08,989","52,51,675","45,07,148","35,81,187","75,09,036","28,07,978","1,04,26,084","46,19,835","21,05,469","61,31,439","8,95,777","35,08,137","18,99,226","11,40,090","17,13,372","22,59,337","72,15,614","15,56,218","8,07,864","7,02,049","5,33,761","3,16,530","4,67,418","11,65,874","12,02,819","11,17,923","4,29,073","19,11,629","14,03,233","3,40,310","43,03,833","3,58,838","7,01,715","34,15,836","3,94,466","10,54,004","90,001","2,00,641","1,03,900","1,26,311","1,43,705","71,072","11,40,823","1,32,169","33,847","21,084","17,343","12,661","9,119","7,42,079","1,05,75,96,335",,5. INVERSIONES CREDITICIAS  ,"20,24,991","5,26,570"
