Var,0049,0182,0030,0075,0081,0128,0065,0072,0093,0224,0038,0019,0042,0061,0036,0129,0073,0231,0086,0046,0223,0198,0130,0094,0185,0122,0233,0099,0227,0216,0138,0234,0057,0232,0078,0009,0059,0229,0211,0226,0142,0125,0031,0186,0063,0003,0217,0058,0220,0136,0225,0113,0188,0184,0011,0133,0200,0219,0132,0205,0115,0121,0091,0083,1490,,
3. 1. Depósitos en entidades de crédito  ,"1,92,45,607",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,"1,92,45,607",
3. 2. Crédito a la clientela  ,"7,87,442",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,"7,87,442",
3. 3. Valores representativos de deuda ,0,0,0,0,0,0,0,"9,06,490",0,0,0,0,0,0,0,0,0,0,0,"1,519",0,0,0,0,0,0,0,0,0,0,0,"17,585",0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,"9,25,892",
3. 4. Instrumentos de capital  ,0,0,0,0,0,"15,113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,370",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,,0,0,0,0,0,"20,515",
Pro-memoria: Prestados o en garantía  ,"83,40,922",0,0,0,0,0,0,"9,06,490",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,"92,47,412",
4. ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA  ,"2,79,34,295","3,58,87,814","1,12,53,197","1,33,22,659","74,62,600","49,73,556","33,66,356","23,79,092","5,73,686",0,0,"3,581","11,41,911","1,51,038",832,61,0,"46,41,369","3,29,653","5,08,583",0,"16,74,471","2,25,554","62,772","86,145","6,475","68,690","6,89,291","57,492","2,268","1,53,255","1,37,918",0,"2,82,163","1,63,582",265,"4,442","6,069","59,364","1,771","33,236",32,"29,571","2,44,201",8,0,510,"2,223","1,15,825",0,0,"28,217","15,570","82,575",0,0,379,0,0,,0,0,0,0,0,"11,81,64,617",
4. 1. Valores representativos de deuda ,"2,64,69,307","3,06,17,656","1,09,12,689","1,28,94,395","66,49,001","49,32,721","33,56,075","22,94,839","4,56,993",0,0,499,"11,18,743","1,02,168",0,0,0,"46,41,369","1,58,552","4,67,590",0,"16,61,675","2,25,216","60,019","80,434",0,"64,577","6,89,277","57,178","2,268","1,52,310","1,23,849",0,"2,82,163","1,47,702",0,639,"6,069","2,150",0,"32,427",0,"19,091","1,95,497",0,0,0,0,"1,15,824",0,0,0,0,"78,825",0,0,0,0,0,,0,0,0,0,0,"10,90,69,787",
4. 2. Instrumentos de capital  ,"14,64,988","52,70,158","3,40,508","4,28,264","8,13,599","40,835","10,281","84,253","1,16,693",0,0,"3,082","23,168","48,870",832,61,0,0,"1,71,101","40,993",0,"12,796",338,"2,753","5,711","6,475","4,113",14,314,0,945,"14,069",0,0,"15,880",265,"3,803",0,"57,214","1,771",809,32,"10,480","48,704",8,0,510,"2,223",1,0,0,"28,217","15,570","3,750",0,0,379,0,0,,0,0,0,0,0,"90,94,830",
Pro-memoria: Prestados o en garantía  ,"16,46,255","2,56,15,695","72,23,950","67,53,663","39,75,259","36,92,480","33,59,473","13,79,110","1,63,731",0,0,0,"9,52,450","54,448",0,0,0,"4,60,630","7,341","25,118",0,"4,60,257","6,059",0,0,0,0,0,"43,732",0,"1,03,756","54,248",0,0,0,0,0,0,0,0,"12,691",0,0,"28,710",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,"5,60,19,056",
5. INVERSIONES CREDITICIAS  ,"22,10,37,723","25,96,54,965","8,86,93,614","9,40,15,935","6,70,74,913","4,32,00,618","2,99,36,378","2,26,58,676","2,12,07,893","2,20,58,994","85,81,684","1,52,20,587","75,15,798","83,96,236","84,29,115","25,08,975","39,08,301","1,13,21,756","63,71,342","34,53,942","19,16,542","55,00,987","58,93,828","18,47,345","18,72,425","37,77,471","11,55,652","1,72,069","13,05,505","20,59,822","15,07,421","6,70,606","6,99,705","4,86,577","7,13,770","69,35,384","7,62,170","10,42,339","4,35,652","9,12,441","5,11,724","17,52,237","5,36,855","2,42,127","37,49,619","3,79,432","18,31,099","4,78,665","15,358","5,06,726","29,96,379","1,08,059","1,37,800","91,014","1,62,505","2,30,091","86,725","1,14,422","33,103",,"20,898","17,822","12,695","9,116","1,01,986","99,90,41,613",
5. 1. Depósitos en entidades de crédito ,"4,41,04,049","3,03,66,284","1,49,01,246","90,15,121","43,70,932","33,86,510","33,37,288","12,31,452","4,67,921","1,46,49,953","85,81,684","15,60,433","1,91,441","4,01,582","59,44,619","25,08,975","35,40,779","4,90,206","15,83,916","56,863","11,319","49,53,698","11,22,333","15,29,085","8,07,236","20,97,662","10,71,175","1,23,311","2,63,786",0,"44,081","69,223","6,81,773","2,68,669","79,980","19,89,792","87,038","1,15,875","1,11,858","4,16,894","77,792","39,917","97,248","1,03,340","37,49,560","2,89,297","2,705","1,11,547","14,784","4,71,545","30,210","1,06,480","1,33,265","52,443","1,58,266",14,"27,172","22,244","33,103",,"20,896","17,822","8,694","9,116","85,537","17,21,99,039",
5. 2. Crédito a la clientela  ,"17,10,32,484","22,92,88,015","7,31,82,609","8,50,00,814","6,27,03,981","3,98,14,108","2,65,99,090","2,09,47,053","1,89,76,071","52,83,725",0,"1,36,60,154","73,24,357","79,94,654","24,84,496",0,"22,167","1,08,31,550","47,87,426","33,97,079","19,05,223","5,47,289","47,71,495","3,18,260","10,65,189","16,79,809","84,477","48,758","10,41,719","20,59,822","14,63,340","6,01,383","17,932","2,17,908","6,33,790","49,45,592","6,75,132","9,26,464","3,23,794","4,95,547","4,33,932","15,42,320","4,39,607","1,38,787",59,"90,135","18,28,394","3,67,118",574,"35,181","29,66,169","1,579","4,535",584,"4,239","2,30,077","59,517","87,119",0,,2,0,"4,001",0,"16,449","81,54,03,134",
5. 3. Valores representativos de deuda  ,"59,01,190",666,"6,09,759",0,0,0,0,"4,80,171","17,63,901","21,25,316",0,0,0,0,0,0,"3,45,355",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,70,000",0,0,0,0,0,0,0,0,0,0,0,"37,987",0,0,36,"5,059",0,,0,0,0,0,0,"1,14,39,440",
Pro-memoria: Prestados o en garantía  ,"3,91,879","4,27,61,599","2,25,367","2,53,92,007","9,57,061",0,"6,85,180","65,66,660","1,02,88,698","13,50,000",0,"11,79,140",0,"17,259","19,90,121",0,0,0,"5,47,187",0,0,0,"1,072","13,02,981","55,507",0,0,"54,595",0,0,"14,996","39,121",0,"3,080",0,"9,96,903","54,007",0,"83,643",0,"26,846",0,0,"53,711",0,0,0,0,0,0,0,0,"1,15,462",0,0,0,0,0,0,,0,0,0,0,0,"9,51,54,082",
