Var,0049,0182,0075,0030,0081,0128,0072,0065,0093,0224,0061,0019,0198,0129,0073,0038,0231,0036,0046,0130,0086,0216,0223,0122,0233,0094,0138,0099,0057,0234,0078,0229,0236,0232,0227,0031,0125,0186,0211,0059,0225,0003,0226,0058,0113,0136,0011,0220,1490,0133,0188,0184,0200,0219,0235,0132,0121,0091,0083,
ACTIVO,BANCO SANTANDER ,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO POPULAR ESPAÑOL ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCA MARCH,DEUTSCHE BANK S.A.E.,BANCO COOPERATIVO ESPAÑOL ,BBVA BANCO DE FINANCIACIÓN,OPEN BANK,BANESTO BANCO DE EMISIONES ,DEXIA SABADELL,SANTANDER INVESTMENT,BANCO GALLEGO,BANCO CAIXA GERAL,BANCO BANIF,TARGOBANK,GENERAL ELECTRIC CAPITAL BANK,CITIBANK ESPAÑA ,POPULAR BANCA PRIVADA,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANKOA ,BANKIA BANCA PRIVADA,BANCO DEPOSITARIO BBVA ,BANCO CAMINOS,BANCA PUEYO,BANCOPOPULAR-E,LLOYDS BANK INTERNATIONAL,BANCO INVERSIS,UNO-E BANK,BANCO ETCHEVERRÍA ,BANCOFAR ,BANCO MEDIOLANUM,EBN BANCO DE NEGOCIOS,BANCO DE MADRID ,BANCO CETELEM,BANCO DE DEPÓSITOS,UBS BANK,BNP PARIBAS ESPAÑA ,BANCO INDUSTRIAL DE BILBAO ,ARESBANK ,ALLFUNDS BANK,BANCO FINANTIA SOFINLOC ,SELF TRADE BANK,NUEVO MICRO BANK,BANCO ALCALÁ ,BANCO EUROPEO DE FINANZAS,PRIVAT BANK DEGROOF,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNAL.,BANCO PICHINCHA ESPAÑA,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,RENTA 4 BANCO,TOTAL BANCOS
3. 3. Valores representativos de deuda ,0,0,0,0,0,0,"1,88,099",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,836",0,0,0,0,0,0,0,0,0,879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,99,814"
3. 4. Instrumentos de capital  ,0,0,0,0,0,"23,010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,998",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"28,008"
Pro-memoria: Prestados o en garantía  ,"1,05,06,939",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,05,06,939"
4. ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA  ,"3,25,46,395","2,91,03,270","1,53,16,328","1,04,31,433","1,03,91,143","97,55,812","5,99,992","16,90,421","12,58,323",0,"11,68,006","4,848","14,90,819",61,0,0,"38,65,773",705,"1,05,074","1,14,635","9,35,858","48,853",0,"12,186","2,97,809","1,084","71,632","2,57,214",0,"3,61,867","2,29,765","3,33,905","6,749","6,65,381",302,"52,056",32,"10,60,584","54,405","38,670",0,0,229,"1,723","1,212",0,108,"1,79,376","28,147",0,63,"5,680",0,0,"10,453",0,0,"1,207","1,22,220","12,26,21,808"
4. 1. Valores representativos de deuda ,"3,18,64,197","2,60,24,809","1,49,49,899","97,79,467","94,14,748","97,01,706","5,76,686","16,81,334","12,34,569",0,"10,91,553",292,"14,77,894",0,0,0,"38,65,773",0,"80,248","1,14,320","7,79,493","48,740",0,0,"2,95,814",0,"70,729","2,57,192",0,"3,53,712","2,22,975","3,33,905","5,903","6,63,266",0,"47,060",0,"10,12,188","5,024","33,732",0,0,0,6,0,0,0,"1,77,313","28,147",0,0,"5,680",0,0,"10,453",0,0,0,"1,12,086","11,63,20,913"
4. 2. Instrumentos de capital  ,"6,82,198","30,78,461","3,66,429","6,51,966","9,76,395","54,106","23,306","9,087","23,754",0,"76,453","4,556","12,925",61,0,0,0,705,"24,826",315,"1,56,365",113,0,"12,186","1,995","1,084",903,22,0,"8,155","6,789",0,846,"2,115",302,"4,996",32,"48,396","49,381","4,938",0,0,229,"1,717","1,212",0,108,"2,063",0,0,63,0,0,0,0,0,0,"1,207","10,134","63,00,894"
Pro-memoria: Prestados o en garantía  ,"1,06,88,476","2,41,19,458","46,62,363","66,48,054","43,44,512","55,33,442",0,"1,66,984","11,64,533",0,"77,592",0,"8,78,582",0,0,0,"38,65,773",0,"6,791","1,11,114","5,76,434","48,283",0,0,0,0,"5,875",0,0,"2,32,645","42,154",0,"4,129",0,0,0,0,"7,52,975","3,511",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,08,910","6,40,42,590"
5. INVERSIONES CREDITICIAS  ,"23,29,34,038","25,83,55,179","9,68,82,064","7,63,67,277","7,99,25,620","4,79,94,529","2,54,26,450","2,49,83,188","1,83,98,493","2,07,77,137","80,04,370","1,61,92,941","1,77,05,455","68,60,828","48,80,385","49,23,165","1,41,69,314","63,18,819","33,63,932","58,55,865","52,37,508","19,89,247","9,61,983","27,92,075","3,37,796","9,42,788","15,62,005","9,21,346","12,08,595","6,46,811","7,09,668","9,21,493","53,31,178","4,69,134","13,20,665","5,19,368","17,69,714","1,82,405","2,53,019","2,45,896","29,54,094","3,37,488","9,95,008","6,44,158","2,54,470","2,78,338","3,23,564","46,631","65,815","3,96,959","54,246","89,841","1,15,444","1,69,437","67,930","33,442","18,117","11,586","3,21,232","1,00,58,19,543"
5. 1. Depósitos en entidades de crédito ,"5,04,47,870","2,42,95,781","74,43,800","95,83,961","43,07,032","10,90,827","42,99,753","7,47,362","4,31,039","1,29,34,659","3,08,851","14,51,038","1,67,73,403","68,60,811","47,87,784","49,23,165","17,00,934","48,08,071","47,714","9,81,485","7,70,209","1,08,548","11,456","11,76,459","2,61,274","6,54,226","65,426","6,82,819","11,99,267","30,756","45,472","9,829","35,27,049","75,687","2,41,365","8,558","22,975","31,934","36,075","1,27,240","42,588","2,35,022","3,19,052","91,986","2,54,470","1,39,104","3,17,211","46,255","54,455",85,"44,576","89,493","34,439","66,131","18,511","33,442","18,101","1,627","2,32,664","16,93,51,176"
5. 2. Crédito a la clientela  ,"16,53,55,277","23,25,85,201","8,85,70,630","6,67,11,163","7,56,18,588","4,69,03,702","2,11,26,697","2,42,35,826","1,66,31,756","70,76,455","76,95,519","1,47,41,903","9,32,052",17,"25,559",0,"1,24,68,380","15,10,748","33,16,218","44,68,949","44,67,299","18,80,699","9,50,527","16,15,616","76,522","2,88,562","14,96,579","2,38,527","9,328","6,16,055","6,64,196","9,11,664","18,04,129","3,93,447","10,79,300","5,10,810","17,46,739","1,50,471","2,16,944","1,18,656","29,11,505","1,02,466","6,75,956","5,52,172",0,"1,39,234","6,353",376,"11,360","3,96,874","9,670",348,"80,969","1,02,357","49,419",0,16,"2,000","88,568","81,43,40,353"
