Var,0049,0182,0075,0030,0081,0128,0065,0093,0224,0061,0019,0198,0129,0073,0038,0231,0036,0046,0130,0086,0216,0223,0122,0233,0094,0138,0099,0057,0234,0078,0229,0236,0232,0227,0031,0125,0186,0211,0059,0225,0003,0226,0058,0113,0136,0011,0220,1490,0133,0188,0184,0200,0219,0235,0132,0121,0091,0083,2090,
ACTIVO,BANCO SANTANDER ,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO POPULAR ESPAÑOL ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANKINTER ,BARCLAYS BANK ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCA MARCH,DEUTSCHE BANK S.A.E.,BANCO COOPERATIVO ESPAÑOL ,BBVA BANCO DE FINANCIACIÓN,OPEN BANK,BANESTO BANCO DE EMISIONES ,DEXIA SABADELL,SANTANDER INVESTMENT,BANCO GALLEGO,BANCO CAIXA GERAL,BANCO BANIF,TARGOBANK,GENERAL ELECTRIC CAPITAL BANK,CITIBANK ESPAÑA ,POPULAR BANCA PRIVADA,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANKOA ,BANKIA BANCA PRIVADA,BANCO DEPOSITARIO BBVA ,BANCO CAMINOS,BANCA PUEYO,BANCOPOPULAR-E,LLOYDS BANK INTERNATIONAL,BANCO INVERSIS,UNO-E BANK,BANCO ETCHEVERRÍA ,BANCOFAR ,BANCO MEDIOLANUM,EBN BANCO DE NEGOCIOS,BANCO DE MADRID ,BANCO CETELEM,BANCO DE DEPÓSITOS,UBS BANK,BNP PARIBAS ESPAÑA ,BANCO INDUSTRIAL DE BILBAO ,ARESBANK ,ALLFUNDS BANK,BANCO FINANTIA SOFINLOC ,SELF TRADE BANK,NUEVO MICRO BANK,BANCO ALCALÁ ,BANCO EUROPEO DE FINANZAS,PRIVAT BANK DEGROOF,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNAL.,BANCO PICHINCHA ESPAÑA,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,RENTA 4 BANCO,BANCO CAM,TOTAL BANCOS
3. 3. Valores representativos de deuda ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,491",0,0,0,0,0,0,0,0,0,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,993","18,328"
3. 4. Instrumentos de capital  ,0,0,0,0,0,"25,589",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,068",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30,657"
Pro-memoria: Prestados o en garantía  ,"1,01,44,539",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,01,44,539"
4. ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA  ,"3,17,76,396","2,88,94,880","1,24,95,571","99,32,933","1,12,28,306","95,37,356","16,29,493","12,93,395",0,"11,68,250","5,403","13,31,107",61,"66,955",0,"37,82,945",705,"1,04,131","1,17,347","9,23,486","48,038",0,"12,186","2,92,170","1,232","70,184","2,98,826",0,"3,62,050","2,32,458","3,40,718","5,759","6,50,508",305,"55,187",32,"10,54,040","52,025","33,694",0,0,247,"1,485","1,261",0,108,"1,89,477","29,735",0,63,"5,367",0,0,"10,234",0,0,"1,207","1,67,177","53,18,478","12,35,22,971"
4. 1. Valores representativos de deuda ,"3,08,83,972","2,61,25,240","1,24,11,508","96,34,856","1,05,51,644","94,81,669","16,20,487","12,69,051",0,"10,93,591",293,"13,18,572",0,"66,955",0,"37,82,945",0,"81,033","1,17,032","7,70,789","47,988",0,0,"2,88,554",0,"69,281","2,98,804",0,"3,54,075","2,25,221","3,40,718","4,936","6,48,393",0,"50,205",0,"10,05,645","4,955","28,661",0,0,0,6,0,0,0,"1,87,704","29,735",0,0,"5,367",0,0,"10,234",0,0,0,"1,55,771","52,05,995","11,81,71,885"
4. 2. Instrumentos de capital  ,"8,92,424","27,69,640","84,063","2,98,077","6,76,662","55,687","9,006","24,344",0,"74,659","5,110","12,535",61,0,0,0,705,"23,098",315,"1,52,697",50,0,"12,186","3,616","1,232",903,22,0,"7,975","7,237",0,823,"2,115",305,"4,982",32,"48,395","47,070","5,033",0,0,247,"1,479","1,261",0,108,"1,773",0,0,63,0,0,0,0,0,0,"1,207","11,406","1,12,483","53,51,086"
Pro-memoria: Prestados o en garantía  ,"21,00,751","2,88,63,929","15,66,260","63,77,269","23,38,100","54,75,826","1,71,063","11,85,506",0,"1,22,602",59,"10,57,882",0,0,0,"37,82,945",0,"6,791","1,14,066","5,60,787","45,685",0,0,0,0,"8,190",0,0,"2,63,657","40,954",0,"4,170",0,0,0,0,"7,66,037","3,447",0,0,0,0,0,0,0,0,"19,699",0,0,0,0,0,0,0,0,0,0,"1,46,921","3,84,828","5,54,07,424"
5. INVERSIONES CREDITICIAS  ,"22,91,72,666","25,84,04,249","11,54,07,104","7,42,33,547","8,13,76,729","4,68,35,135","2,45,14,456","1,74,52,583","2,13,62,587","84,87,499","1,54,67,316","1,86,89,126","1,17,29,302","50,81,740","55,37,575","1,38,18,332","56,79,201","32,96,414","58,21,170","54,05,787","20,67,304","11,74,506","27,61,695","2,44,893","10,07,946","15,67,927","7,05,078","12,41,494","6,61,952","7,07,921","9,11,781","53,08,211","18,78,953","13,26,275","5,85,335","17,09,731","2,12,051","2,35,197","3,19,139","29,26,591","3,01,733","10,06,544","6,72,570","2,54,815","2,64,395","3,76,331","77,433","68,113","4,04,483","50,768","87,724","95,787","1,91,587","73,133","33,366","18,146","11,616","2,73,114","4,46,30,946","1,04,42,19,102"
5. 1. Depósitos en entidades de crédito ,"5,28,08,706","2,51,90,971","69,84,344","90,14,535","57,83,954","10,89,675","8,06,554","4,57,996","1,35,66,860","4,20,826","8,42,130","1,72,62,324","1,17,29,285","50,50,388","55,37,575","16,76,350","42,69,402","64,801","9,93,612","14,90,743","2,03,227","2,025","10,20,417","1,77,073","6,67,869","82,968","4,48,283","12,25,351","48,681","38,054","10,023","35,49,180","1,16,949","2,61,986","77,199","10,340","51,771","35,659","1,01,152","35,371","1,98,436","3,48,076","1,15,959","2,54,815","1,18,001","3,44,015","56,590","55,128",71,"41,070","87,510","15,902","58,739","18,668","33,366","18,130","1,621","2,07,483","14,67,540","17,66,45,729"
5. 2. Crédito a la clientela  ,"15,89,57,594","23,15,01,703","10,76,44,762","6,51,47,436","7,55,92,775","4,57,45,460","2,37,07,902","1,56,57,208","71,07,290","80,66,673","1,46,25,186","14,26,802",17,"31,352",0,"1,21,41,982","14,09,799","32,31,613","44,19,417","39,15,044","18,64,077","11,72,481","17,41,278","67,820","3,40,077","14,84,959","2,56,795","16,143","6,13,271","6,69,867","9,01,758","17,59,031","17,62,004","10,64,289","5,08,136","16,99,391","1,60,280","1,99,538","2,17,987","28,91,220","1,03,297","6,58,468","5,56,611",0,"1,46,394","32,316",819,"12,985","4,04,412","9,698",214,"79,852","1,32,368","54,465",0,16,"2,000","65,631","4,27,77,378","84,47,57,341"
5. 3. Valores representativos de deuda  ,"1,74,06,366","17,11,575","7,77,998","71,576",0,0,0,"13,37,379","6,88,437",0,0,0,0,0,0,0,0,0,"4,08,141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20,024",0,0,0,0,33,480,0,0,0,"7,995",0,"3,86,028","2,28,16,032"
