Var,0049,0182,0075,0030,0081,0128,0072,0065,0093,0224,0061,0042,0019,0038,0073,0198,0036,0231,0046,0086,0130,0223,0216,0122,0233,0094,0138,0057,0078,0185,0234,0125,0236,0232,0227,0031,0099,0229,0142,0129,0059,0009,0186,0063,0003,0225,0211,0058,0136,0226,0113,0184,1490,0220,0011,0188,0133,0200,0219,0132,0235,0121,0091,0083,
3. 1. Depósitos en entidades de crédito  ,"1,12,72,313",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,12,72,313"
3. 2. Crédito a la clientela  ,"1,73,02,808",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,73,02,808"
3. 3. Valores representativos de deuda ,0,0,0,0,0,0,"3,91,096",0,0,0,0,0,0,0,0,0,0,0,"1,570",0,0,0,0,0,0,0,0,0,0,0,"21,679",0,0,"1,235",0,0,0,0,0,0,"1,001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,16,581"
3. 4. Instrumentos de capital  ,0,0,0,0,0,"28,772",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,507",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34,279"
Pro-memoria: Prestados o en garantía  ,"1,92,93,592",0,0,0,0,0,"3,91,096",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,96,84,688"
4. ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA  ,"2,22,89,938","3,10,16,547","1,29,38,515","1,11,21,877","1,02,07,669","40,25,194","17,03,603","46,59,351","15,77,606",0,"1,67,058","13,94,531","3,918",0,0,"20,42,853",832,"41,42,743","2,08,049","7,53,241","2,56,565",0,0,"6,310","2,42,324","36,524","65,978",0,"1,84,664","70,198","1,48,932",32,"16,361","4,56,457",301,"36,683","5,82,130","30,241","39,243",61,"9,320",7,"3,67,997",8,0,0,"76,363","1,857",0,661,"1,317","38,091","17,800","1,12,965",32,"14,946",0,260,0,0,"11,196",0,507,0,"11,10,79,856"
4. 1. Valores representativos de deuda ,"2,13,61,552","2,61,60,529","1,26,11,532","1,06,34,234","94,13,804","39,70,527","16,63,156","46,50,201","15,42,770",0,"1,11,356","13,73,217",294,0,0,"20,31,999",0,"41,42,743","1,71,823","5,83,948","2,56,000",0,0,0,"2,39,606","34,876","65,056",0,"1,72,776","68,539","1,36,504",0,"15,500","4,56,457",0,"27,461","5,82,116","30,241","36,352",0,"3,765",0,"3,19,379",0,0,0,"4,702",6,0,0,0,"34,341","17,800","1,12,963",0,0,0,0,0,0,"11,196",0,0,0,"10,30,49,321"
4. 2. Instrumentos de capital  ,"9,28,386","48,56,018","3,26,983","4,87,643","7,93,865","54,667","40,447","9,150","34,836",0,"55,702","21,314","3,624",0,0,"10,854",832,0,"36,226","1,69,293",565,0,0,"6,310","2,718","1,648",922,0,"11,888","1,659","12,428",32,861,0,301,"9,222",14,0,"2,891",61,"5,555",7,"48,618",8,0,0,"71,661","1,851",0,661,"1,317","3,750",0,2,32,"14,946",0,260,0,0,0,0,507,0,"80,30,535"
Pro-memoria: Prestados o en garantía  ,"6,62,806","55,98,817","77,98,913","64,24,504","48,86,981","26,35,630","15,48,159","46,59,351","13,91,931",0,"14,029","10,51,540",0,0,0,"10,22,030",0,"15,88,117","61,625","2,39,489",0,0,0,0,0,0,"31,774",0,0,0,"78,460",0,"15,320",0,0,0,0,0,"5,000",0,0,0,"1,33,647",0,0,0,"2,910",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,98,51,033"
5. INVERSIONES CREDITICIAS  ,"22,76,53,138","25,95,60,542","10,24,25,516","9,15,97,510","6,88,35,113","4,37,37,198","2,49,60,151","2,77,12,370","2,15,76,707","2,20,90,316","80,29,353","42,96,082","1,56,82,298","52,79,403","41,95,466","79,25,267","66,65,981","1,29,36,253","35,40,829","54,21,302","69,98,376","13,37,023","20,49,997","28,22,400","5,82,872","15,60,985","15,22,824","9,47,038","7,29,843","12,59,389","6,50,046","17,58,882","20,64,776","4,08,584","13,17,174","5,06,010","81,433","9,10,796","3,93,707","6,79,572","7,53,879","74,67,127","1,61,858","33,13,957","3,53,590","29,44,439","2,83,983","7,14,724","5,32,158","9,54,540","66,466","1,13,521","87,972","33,870","1,95,968","54,266","3,42,466","1,16,828","1,18,564","32,990","13,475","17,996","12,167","9,111","1,01,13,98,437"
