Var,0049,0182,0030,0075,0081,0128,0065,0072,0093,0224,0004,0038,0019,0042,0061,0036,0129,0073,0231,0086,0046,0223,0198,0130,0094,0185,0122,0233,0099,0227,0216,0138,0234,0057,0232,0078,0009,0059,0229,0211,0226,0142,0125,0031,0186,0063,0003,0217,0058,0220,0136,0225,0113,0188,0184,0011,0133,0200,0219,0132,0205,0115,0121,0091,0083,1490,
ACTIVO,BANCO SANTANDER ,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO ESPAÑOL DE CRÉDITO ,BANCO POPULAR ESPAÑOL ,BANCO SABADELL,BANKINTER ,BARCLAYS BANK ,BANCO PASTOR ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCO DE ANDALUCÍA,BANESTO BANCO DE EMISIONES ,DEUTSCHE BANK S.A.E.,BANCO GUIPUZCOANO,BANCA MARCH,SANTANDER INVESTMENT,BBVA BANCO DE FINANCIACIÓN,OPEN BANK SANTANDER CONSUMER,DEXIA SABADELL,BANCO BANIF,BANCO GALLEGO,GENERAL ELECTRIC CAPITAL BANK,BANCO COOPERATIVO ESPAÑOL ,BANCO CAIXA GERAL,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO URQUIJO SABADELL BANCA PRIVADA ,CITIBANK ESPAÑA ,POPULAR BANCA PRIVADA,ALTAE BANCO,UNO-E BANK,BANCO POPULAR HIPOTECARIO ,BANKOA ,BANCO CAMINOS,BANCO DEPOSITARIO BBVA ,BANCO INVERSIS,BANCA PUEYO,"FINANZIA, BANCO DE CRÉDITO ",BANCO DE MADRID ,BANCOPOPULAR-E,EBN BANCO DE NEGOCIOS,UBS BANK,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANCOFAR ,BANCO ETCHEVERRÍA ,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO DE DEPÓSITOS,BANCO HALIFAX HISPANIA,BNP PARIBAS ESPAÑA ,BANCO FINANTIA SOFINLOC ,ARESBANK ,BANCO CETELEM,BANCO INDUSTRIAL DE BILBAO ,BANCO ALCALÁ ,BANCO EUROPEO DE FINANZAS,ALLFUNDS BANK,MICROBANK DE LA CAIXA,PRIVAT BANK DEGROOF,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,DEUTSCHE BANK CREDIT ,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,SELF TRADE BANK,TOTAL BANCOS
3. 1. Depósitos en entidades de crédito  ,"2,43,96,289",0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,43,96,289"
3. 2. Crédito a la clientela  ,"10,82,606",0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,82,606"
3. 3. Valores representativos de deuda ,0,0,0,0,0,0,0,"8,99,009",0,0,,0,0,0,0,0,0,0,0,0,"9,682",0,0,0,0,0,0,0,0,0,0,0,"16,762",0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,25,751"
3. 4. Instrumentos de capital  ,0,0,0,0,0,"12,312",0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,455",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,"17,799"
Pro-memoria: Prestados o en garantía  ,"1,08,06,679",0,0,0,0,0,0,"8,99,009",0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,17,05,688"
4. ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA  ,"2,65,55,319","3,48,49,755","1,09,22,358","1,45,78,654","61,99,803","55,12,615","22,18,224","22,25,760","6,14,499",0,,0,"3,890","8,43,890","1,32,035",832,61,0,"46,67,803","2,60,690","2,32,914",0,"15,88,589","1,95,457","68,307","21,754","6,484","59,532","6,43,650","65,698","2,197","1,20,134","1,37,357",0,"2,13,769","1,47,572",265,"4,483","6,785","70,939","2,559","35,520",32,"19,744","2,42,020",8,0,510,"1,713","1,18,918",0,0,"52,723","15,491","60,174",0,0,379,0,0,0,0,0,1,0,2,"11,37,21,868"
4. 1. Valores representativos de deuda ,"2,50,61,107","2,81,82,637","1,05,78,082","1,41,38,174","53,53,882","54,83,307","22,16,761","21,37,625","4,56,289",0,,0,599,"8,20,331","84,192",0,0,0,"46,67,803","84,314","1,98,443",0,"15,75,552","1,95,119","65,410","13,855",0,"59,428","6,43,636","65,384","2,197","1,19,189","1,23,464",0,"2,13,769","1,31,856",0,632,"6,785","1,963",0,"34,698",0,"12,016","1,93,331",0,0,0,0,"1,18,917",0,0,0,0,"46,424",0,0,0,0,0,0,0,0,0,0,0,"10,30,87,171"
4. 2. Instrumentos de capital  ,"14,94,212","66,67,118","3,44,276","4,40,480","8,45,921","29,308","1,463","88,135","1,58,210",0,,0,"3,291","23,559","47,843",832,61,0,0,"1,76,376","34,471",0,"13,037",338,"2,897","7,899","6,484",104,14,314,0,945,"13,893",0,0,"15,716",265,"3,851",0,"68,976","2,559",822,32,"7,728","48,689",8,0,510,"1,713",1,0,0,"52,723","15,491","13,750",0,0,379,0,0,0,0,0,1,0,2,"1,06,34,697"
Pro-memoria: Prestados o en garantía  ,"2,67,428","2,40,00,945","68,06,198","47,96,804","33,49,108","37,01,587","22,18,224","15,58,254","2,60,774",0,,0,377,"5,41,076","57,436",0,0,0,"2,48,283","11,812","47,771",0,"2,87,016","8,570",0,0,0,0,0,"36,596",0,"76,176","37,287",0,0,0,0,0,0,0,0,"2,965",0,0,"28,683",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,83,43,370"
5. INVERSIONES CREDITICIAS  ,"22,29,76,118","26,34,68,949","8,83,81,657","9,36,23,621","6,67,98,812","4,40,58,706","2,78,84,023","2,17,93,641","2,10,18,961","1,88,10,671",,"87,14,405","1,60,19,650","75,45,443","82,23,127","87,68,906","37,50,106","40,44,240","1,11,71,407","64,16,277","34,13,232","20,38,463","40,92,942","62,62,531","21,67,252","19,39,838","34,90,539","13,00,980","2,14,013","13,05,482","20,96,126","14,87,013","6,19,479","6,30,306","4,43,358","6,77,744","72,42,879","7,89,240","10,58,711","4,80,259","7,87,492","5,12,224","17,23,813","5,06,403","2,35,109","38,33,154","3,50,774","18,45,052","4,76,918","10,024","5,69,286","30,57,892","93,038","1,35,673","91,844","1,14,437","2,10,445","91,671","97,413","32,970","10,54,975","20,929","17,447","12,696","9,110","96,939","1,00,12,06,835"
5. 1. Depósitos en entidades de crédito ,"4,14,18,095","3,02,55,470","1,47,31,347","86,45,017","53,14,841","39,15,428","13,31,170","10,41,777","4,47,546","1,10,56,283",,"87,14,405","34,47,737","1,91,511","3,96,793","62,66,777","37,50,106","36,76,810","4,57,045","16,08,822","42,672","11,157","37,63,097","14,93,387","18,95,523","8,78,782","17,72,851","12,06,614","1,78,682","2,55,886","1,342","47,376","15,331","6,28,254","2,97,010","49,528","22,12,438","1,17,311","1,15,389","89,745","3,10,554","89,299","56,871","89,894","95,027","38,33,115","2,67,570","2,409","1,94,680","9,304","5,45,661","44,139","92,848","1,30,671","53,570","1,10,095",70,"28,928","25,262","32,970","7,379","20,922","17,447","7,695","9,110","85,365","16,79,00,210"
5. 2. Crédito a la clientela  ,"17,64,26,942","23,32,07,851","7,29,66,928","8,49,78,604","6,14,83,971","4,01,43,278","2,65,52,853","2,04,79,621","1,87,52,043","56,08,116",,0,"1,25,71,913","73,53,932","78,26,334","25,02,129",0,"22,492","1,07,14,362","48,07,455","33,70,560","20,27,306","3,29,845","47,69,144","2,71,729","10,61,056","17,17,688","94,366","35,331","10,49,596","20,94,784","14,39,637","6,04,148","2,052","1,46,348","6,28,216","50,30,441","6,71,929","9,43,322","3,90,514","4,76,938","4,22,925","14,96,942","4,16,509","1,40,082",39,"83,204","18,42,643","2,82,238",720,"23,625","30,13,753",190,"5,002",293,"4,342","2,10,375","62,707","65,552",0,"10,47,596",7,0,"5,001",0,"11,574","82,26,89,093"
