Var,0182,0049,0075,0030,0081,0128,0065,0072,0093,0224,0061,0042,0019,0038,0036,0231,0198,0073,0046,0130,0086,0223,0122,0129,0094,0233,0185,0057,0216,0227,0138,0234,0099,0078,0125,0229,0232,0142,0031,0059,0009,0186,0063,0217,0003,0058,0136,0211,0113,0226,0225,0184,0188,1490,0011,0220,0133,0200,0219,0132,0115,0121,0091,0083,0235,
3. 1. Depósitos en entidades de crédito  ,0,"1,52,89,533","1,736",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,"1,52,91,269"
3. 2. Crédito a la clientela  ,0,"1,15,42,219",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,"1,15,42,219"
3. 3. Valores representativos de deuda ,0,0,0,0,0,0,0,"8,92,565",0,0,0,0,0,0,0,0,0,0,"1,606",0,0,0,0,0,0,0,0,0,0,0,0,"20,427",0,0,0,0,"1,209",0,0,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,"11,745","9,28,525"
3. 4. Instrumentos de capital  ,0,0,0,0,0,"19,240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,480",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,"24,720"
Pro-memoria: Prestados o en garantía  ,0,"77,94,688",0,0,0,0,0,"8,92,565",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,"86,87,253"
4. ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA  ,"2,73,04,798","2,17,32,099","1,42,88,234","1,18,61,897","1,02,68,891","41,51,238","45,03,111","24,20,332","8,41,812",0,"1,63,496","8,29,829","3,351",0,832,"47,56,651","22,23,853",0,"1,72,920","9,97,823","10,01,721",0,"6,310",61,"1,02,850","1,53,623","27,800",0,0,315,"71,372","1,54,207","4,25,353","1,80,512",32,65,"2,27,176","63,729","20,357","12,319",157,"2,98,184",8,510,0,"1,693",0,"73,845","1,234",939,0,"68,778","14,983",2,32,"93,058",0,260,0,0,,0,3,0,0,"10,95,22,655"
4. 1. Valores representativos de deuda ,"2,22,29,375","2,05,34,097","1,38,73,420","1,15,91,056","94,59,657","41,06,926","44,94,017","23,74,825","7,66,964",0,"1,11,812","8,05,801",250,0,0,"47,56,651","22,12,740",0,"1,33,141","9,97,485","8,30,281",0,0,0,"1,01,343","1,50,471","23,251",0,0,0,"67,956","1,43,548","4,25,339","1,65,315",0,65,"2,27,176","60,655","10,037","6,825",0,"2,49,503",0,0,0,0,0,"5,867",0,0,0,"65,028",0,0,0,"93,056",0,0,0,0,,0,0,0,0,"10,10,73,933"
4. 2. Instrumentos de capital  ,"50,75,423","11,98,002","4,14,814","2,70,841","8,09,234","44,312","9,094","45,507","74,848",0,"51,684","24,028","3,101",0,832,0,"11,113",0,"39,779",338,"1,71,440",0,"6,310",61,"1,507","3,152","4,549",0,0,315,"3,416","10,659",14,"15,197",32,0,0,"3,074","10,320","5,494",157,"48,681",8,510,0,"1,693",0,"67,978","1,234",939,0,"3,750","14,983",2,32,2,0,260,0,0,,0,3,0,0,"84,48,722"
Pro-memoria: Prestados o en garantía  ,"55,73,483","8,38,258","1,12,89,967","73,38,102","44,16,964","25,21,134","45,03,111","18,83,318","3,70,143",0,"43,610","7,20,743",0,0,0,"14,10,460","12,66,626",0,"7,432","8,075","1,90,539",0,0,0,0,0,0,0,0,0,"39,955","32,932",0,0,0,0,0,"14,339",0,0,0,"84,829",0,0,0,0,0,"2,819",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,"4,25,56,839"
5. INVERSIONES CREDITICIAS  ,"26,22,43,177","23,65,87,676","10,26,04,486","10,14,80,157","6,71,71,953","4,48,81,993","2,87,97,170","2,45,21,550","2,13,00,981","2,27,83,935","80,13,338","76,02,653","1,53,41,387","55,58,961","72,93,123","1,33,32,834","78,30,404","45,00,731","34,92,621","60,78,336","53,33,578","15,44,870","29,09,405","7,43,099","15,03,351","9,03,546","16,41,780","18,58,595","19,80,860","12,95,439","15,27,767","6,57,854","1,03,161","7,21,075","18,84,240","9,06,577","4,36,650","4,40,352","5,64,092","7,22,326","64,87,073","1,61,208","35,66,132","17,73,463","3,24,273","4,97,021","2,76,903","3,39,125","67,584","8,24,252","29,20,539","88,177","66,203","97,154","1,73,266","31,682","2,86,603","1,02,381","1,37,032","32,837",,"17,935","12,669","9,120","10,103","1,03,73,98,818"
5. 1. Depósitos en entidades de crédito ,"2,89,81,989","5,08,70,587","1,03,27,422","2,20,49,854","45,31,768","23,10,671","12,33,030","15,06,859","3,91,002","1,60,18,466","2,26,004","1,73,828","9,89,425","55,58,961","48,38,450","11,41,172","73,88,511","35,58,308","30,401","9,51,475","4,45,203","11,190","13,69,781","7,43,099","10,87,903","8,11,218","6,31,214","18,55,688",0,"2,59,116","41,721","63,018","47,651","58,752","37,606",235,"2,92,088","49,618","81,301","97,182","18,49,660","35,428","34,91,233","2,215","2,25,289","84,328","2,48,475","64,991","67,583","2,57,487","72,610","87,640","61,895","81,755","1,70,521","30,702",339,"31,423","68,580","32,837",,"17,935","8,668","9,120","7,743","17,80,70,224"
5. 2. Crédito a la clientela  ,"23,19,55,154","17,48,72,417","9,22,77,064","7,91,00,179","6,26,40,185","4,25,71,322","2,75,64,140","2,23,78,362","1,88,46,096","50,02,459","77,87,334","74,28,825","1,43,51,962",0,"24,54,673","1,21,91,662","4,41,893","25,896","34,62,220","51,26,861","48,88,375","15,33,680","15,39,624",0,"4,15,448","92,328","10,10,566","2,907","19,80,860","10,36,323","14,86,046","5,94,836","55,510","6,62,323","16,72,419","9,06,342","1,44,562","3,90,734","4,82,791","6,25,144","46,37,413","1,25,780","74,899","17,71,248","98,984","4,12,693","28,428","2,74,134",1,"5,66,765","28,47,929",537,"4,308","15,399","2,745",980,"2,86,264","70,922","65,065",0,,0,"4,001",0,"2,360","84,12,90,377"
5. 3. Valores representativos de deuda  ,"13,06,034","1,08,44,673",0,"3,30,124",0,0,0,"6,36,329","20,63,883","17,63,010",0,0,0,0,0,0,0,"9,16,527",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,74,215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,"3,387",0,,0,0,0,0,"1,80,38,218"
Pro-memoria: Prestados o en garantía  ,"4,02,95,300","7,40,578","3,20,43,793","1,31,323","1,94,245",0,"10,81,797","77,02,267","1,22,12,345","13,50,000",0,0,"4,49,518",0,"15,53,654",0,0,0,0,0,"1,12,428",0,0,0,"9,42,737",0,"46,876",0,0,0,"4,82,050","34,424","21,474",0,0,0,"3,439",0,0,"53,621","13,99,900","1,149",0,0,0,0,0,"27,557",0,0,0,0,"40,269",0,0,0,0,0,0,0,,0,0,0,0,"10,09,20,744"
6. CARTERA DE INVERSIÓN A VENCIMIENTO ,"98,77,150",0,"35,29,594","20,60,107",0,"28,01,726",0,"15,85,521",0,0,0,"5,64,699",0,0,0,0,0,0,"5,88,016",3,0,0,0,0,0,"3,19,643",0,0,0,0,"73,359","1,04,876",0,0,0,0,"26,463","55,561","12,680",0,0,0,0,0,0,0,0,"1,18,653",0,0,0,"12,151","47,886","20,617",0,0,0,0,0,0,,0,0,0,0,"2,17,98,705"
Pro-memoria: Prestados o en garantía  ,"19,73,712",0,"20,55,898","20,24,879",0,"13,30,802",0,"1,94,539",0,0,0,"2,68,579",0,0,0,0,0,0,"1,66,290",0,0,0,0,0,0,0,0,0,0,0,"56,059","84,622",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,03,637",0,0,0,0,"47,882",189,0,0,0,0,0,0,,0,0,0,0,"83,07,088"
7. AJUSTES A ACTIVOS FINANCIEROS POR MACRO-COBERTURAS ,"1,47,008",0,0,"1,53,827",0,"-6,902",0,"18,949",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,"3,12,882"
8. DERIVADOS DE COBERTURA ,"41,20,307","56,95,747","12,44,739","15,43,003","5,75,876","2,44,187",181,"2,06,490","14,483","1,43,893","1,87,320","1,07,203","2,10,437",0,0,"2,38,128",22,0,"41,354","1,911","13,773",0,0,0,0,"2,44,331",470,0,"64,432",0,0,0,0,0,0,"15,888",0,0,0,181,"4,434",0,"1,03,056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,"1,50,21,846"
9. ACTIVOS NO CORRIENTES EN VENTA ,"7,67,094","8,27,535","8,87,324","10,64,879","97,554","17,912","31,634","1,76,923","88,602","61,976","32,340","67,499","24,968",0,0,0,0,0,"2,562","19,175","12,166","26,921",0,0,0,0,0,0,"1,23,557",302,"6,473",182,0,"1,744",0,134,0,"1,850","1,226",0,"1,165",0,0,"19,356",0,0,58,"1,475",0,0,0,0,0,0,0,23,0,0,0,0,,0,0,0,0,"43,64,609"
10. PARTICIPACIONES ,"2,44,37,348","6,05,44,524","17,47,329","6,09,304","8,88,302","5,41,529","26,792","1,46,193","2,54,128","43,13,847","3,02,583","2,73,244","17,975",0,"1,15,274",0,"20,883",33,"23,403",6,"91,718","3,46,231","79,137",7,"1,236","4,006",0,0,0,"9,234","4,921","31,590",1,"1,116",0,0,"1,07,400","8,022",640,"2,301","1,21,318","4,350","3,24,682",698,0,"23,290","4,262","25,603","1,45,061","9,704",661,"10,000","1,112",0,"10,110",0,0,"4,903",0,0,,10,2,0,50,"9,56,36,073"
