Var,0049,0182,0030,0075,0081,0128,0065,0072,0093,0224,0004,0038,0019,0042,0061,1004,0036,0129,0073,0231,0086,0046,0223,0198,0130,0094,0185,0122,0233,0099,0227,0216,0138,0234,0057,0232,0078,0009,0059,0229,0211,0226,0142,0125,0031,0186,0063,0003,0217,0058,0220,0136,0225,0113,0188,0184,0011,0133,0200,0219,0132,0205,0115,0121,0091,0083,1490
3. 1. Depósitos en entidades de crédito  ,"1,87,60,191",0,0,0,0,0,0,0,0,0,0,0,0,"52,131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3. 2. Crédito a la clientela  ,"13,15,020",0,0,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3. 3. Valores representativos de deuda ,0,0,0,0,0,0,0,"8,88,264",0,0,0,0,0,0,0,0,0,0,0,0,0,"9,747",0,0,0,0,0,0,0,0,0,0,0,"13,233",0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3. 4. Instrumentos de capital  ,0,0,0,0,0,"8,801",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,752",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
Pro-memoria: Prestados o en garantía  ,"1,23,22,503",0,0,0,0,0,0,"8,88,264",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4. ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA  ,"2,43,16,581","2,33,00,669","1,24,09,590","1,27,02,677","74,52,787","64,14,234","13,93,013","14,67,858","6,89,711",0,"10,81,973",0,"3,706","3,03,827","1,48,297","22,76,048","1,919",61,0,"47,65,607","3,59,489","2,14,191",0,"16,46,110","70,824","63,583","43,899","6,460","34,725","6,07,232","91,581","2,018","1,13,644","1,23,633",0,"1,31,182","1,09,197",201,"4,077","6,694","56,398","3,761","41,209",32,"10,304","1,84,075",8,0,244,"1,395",1,0,0,"54,202","14,958","19,727",0,0,440,"1,204",0,0,0,0,0,0,0
4. 1. Valores representativos de deuda ,"2,33,36,681","1,71,32,883","1,20,31,825","1,21,73,907","66,40,467","63,86,910","13,91,640","13,81,417","4,64,965",0,"10,81,931",0,610,"2,71,548","1,01,892","22,76,048",0,0,0,"47,65,607","1,84,586","1,86,762",0,"16,33,104","70,502","61,087","31,061",0,"31,678","6,06,916","91,267","2,018","1,12,699","1,10,700",0,"1,31,182","95,100",0,570,"6,694","1,694",0,"38,605",0,"3,120","1,35,386",0,0,0,0,0,0,0,0,0,"15,977",0,0,0,"1,204",0,0,0,0,0,0,0
4. 2. Instrumentos de capital  ,"9,79,900","61,67,786","3,77,765","5,28,770","8,12,320","27,324","1,373","86,441","2,24,746",0,42,0,"3,096","32,279","46,405",0,"1,919",61,0,0,"1,74,903","27,429",0,"13,006",322,"2,496","12,838","6,460","3,047",316,314,0,945,"12,933",0,0,"14,097",201,"3,507",0,"54,704","3,761","2,604",32,"7,184","48,689",8,0,244,"1,395",1,0,0,"54,202","14,958","3,750",0,0,440,0,0,0,0,0,0,0,0
Pro-memoria: Prestados o en garantía  ,"4,63,304","65,86,235","75,63,132","97,00,928","42,63,278","44,94,889","13,93,013","11,47,933","3,19,693",0,311,0,57,0,"59,728",0,0,0,0,"2,79,086","12,891","47,771",0,"3,46,796","4,866",0,0,0,0,0,"72,676",0,"74,788","60,090",0,0,0,0,0,0,0,0,"6,693",0,0,"10,445",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5. INVERSIONES CREDITICIAS  ,"23,22,14,022","26,02,54,029","9,21,06,265","8,59,54,376","6,51,62,370","4,36,90,876","2,78,89,407","2,20,88,896","2,08,36,956","1,96,51,381","1,26,41,484","95,78,529","1,56,89,877","78,09,377","81,14,795","86,69,770","89,11,777","61,70,474","47,61,389","1,06,70,194","76,53,718","34,05,934","25,58,216","49,26,258","62,32,609","20,23,154","19,06,735","35,34,006","14,62,358","4,01,922","12,51,210","21,65,692","15,40,880","6,66,026","7,36,052","6,06,594","6,73,859","69,16,691","8,15,135","10,84,691","5,10,101","9,48,788","5,48,886","14,52,501","4,93,323","2,79,986","38,73,044","3,51,760","18,70,853","4,56,961","3,55,490","4,31,572","32,12,117","1,15,864","1,47,680","98,604","1,75,942","1,83,020","1,01,011","99,851","34,072","10,93,132","21,145","17,463","12,705","9,119","92,733"
