Var,0049,0182,0030,0075,0081,0128,0065,0072,0093,0224,0038,0019,0042,0061,0036,0129,0073,0231,0086,0046,0223,0198,0130,0094,0185,0122,0233,0099,0227,0216,0138,0234,0057,0232,0078,0009,0059,0229,0211,0226,0142,0125,0031,0186,0063,0003,0217,0058,0220,0136,0225,0113,0188,0184,0011,0133,0200,0219,0132,0205,0115,0121,0091,0083,1490,,
3. 1. Depósitos en entidades de crédito  ,"1,78,60,813",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,78,60,813",
3. 2. Crédito a la clientela  ,"57,88,882",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"57,88,882",
3. 3. Valores representativos de deuda ,0,0,0,0,0,0,0,"9,04,177",0,0,0,0,0,0,0,0,0,0,0,"1,573",0,0,0,0,0,0,0,0,0,0,0,"17,679",0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,23,727",
3. 4. Instrumentos de capital  ,0,0,0,0,0,"7,576",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,480",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,"13,088",
Pro-memoria: Prestados o en garantía  ,"1,19,61,041",0,0,0,0,0,0,"9,04,177",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,28,65,218",
4. ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA  ,"2,79,99,083","3,65,08,377","1,07,91,424","1,35,40,795","68,78,029","53,04,323","23,01,830","23,18,930","6,04,988",0,0,"3,461","11,41,933","1,44,299",832,61,0,"46,47,191","2,47,669","1,92,615",0,"16,73,163","2,31,320","68,686","21,128","6,497","53,605","6,40,259","56,313","2,232","1,40,030","1,42,502",0,"2,62,668","1,49,074",265,"4,569","6,807","67,544","2,283","34,325",32,"24,670","2,43,163",8,0,510,"2,223","1,25,885",0,0,"50,394","15,609","59,417",0,0,379,0,0,0,0,0,3,0,2,"11,67,11,405",
4. 1. Valores representativos de deuda ,"2,64,97,593","2,97,55,941","1,04,46,629","1,31,04,382","60,74,766","52,70,686","22,91,549","22,32,558","4,56,127",0,0,496,"11,17,858","97,814",0,0,0,"46,47,191","71,542","1,52,320",0,"16,60,916","2,30,982","65,571","13,243",0,"49,082","6,40,245","55,999","2,232","1,39,085","1,28,422",0,"2,62,668","1,33,019",0,636,"6,807","2,070",0,"33,459",0,"14,488","1,94,451",0,0,0,0,"1,25,884",0,0,0,0,"55,667",0,0,0,0,0,0,0,0,0,0,0,"10,60,32,378",
4. 2. Instrumentos de capital  ,"15,01,490","67,52,436","3,44,795","4,36,413","8,03,263","33,637","10,281","86,372","1,48,861",0,0,"2,965","24,075","46,485",832,61,0,0,"1,76,127","40,295",0,"12,247",338,"3,115","7,885","6,497","4,523",14,314,0,945,"14,080",0,0,"16,055",265,"3,933",0,"65,474","2,283",866,32,"10,182","48,712",8,0,510,"2,223",1,0,0,"50,394","15,609","3,750",0,0,379,0,0,0,0,0,3,0,2,"1,06,79,027",
Pro-memoria: Prestados o en garantía  ,0,"2,28,60,458","67,81,132","58,54,779","32,74,450","33,47,279","23,01,830","16,47,670","3,40,603",0,0,0,"2,93,209","54,448",0,0,0,"4,68,411","10,656","14,418",0,"7,73,798","10,017",0,0,0,0,0,"31,956",0,"96,794","75,004",0,0,0,0,0,0,0,0,"4,846",0,0,"28,787",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,82,70,545",
5. INVERSIONES CREDITICIAS  ,"22,44,29,765","25,88,65,059","9,38,80,430","9,92,83,481","6,71,65,903","4,42,74,476","2,87,10,542","2,17,33,789","2,09,69,466","2,08,30,027","87,78,018","1,61,13,844","75,72,899","81,60,068","82,34,467","31,85,957","39,98,214","1,12,06,140","61,13,705","34,74,565","20,02,438","42,19,178","62,65,547","19,44,221","19,63,025","36,40,977","13,20,675","2,08,661","13,06,350","20,99,998","14,63,105","6,49,584","8,69,312","5,17,232","6,88,058","69,63,325","7,72,142","10,63,510","5,08,772","9,13,989","5,33,823","17,20,473","5,21,724","2,33,899","37,72,389","3,80,267","18,41,902","4,70,694","10,599","6,25,509","30,21,937","94,956","1,32,864","82,976","1,80,934","2,15,093","94,919","1,00,089","32,995","10,38,271","20,926","18,020","12,694","9,112","98,682","1,01,16,26,661",
5. 1. Depósitos en entidades de crédito ,"4,54,58,720","2,82,77,899","1,72,25,499","1,13,00,244","51,70,543","40,57,582","21,04,508","11,28,431","4,64,691","1,31,14,579","87,78,018","35,42,934","1,99,957","2,29,772","57,10,584","31,85,957","36,31,145","4,68,434","13,55,429","78,853","11,915","38,82,998","14,62,973","16,69,773","9,20,878","19,22,118","12,25,799","1,72,069","2,57,154",0,"26,413","47,634","8,23,459","2,92,937","57,431","19,54,221","1,05,139","1,01,537","1,21,571","4,26,441","99,820","34,765","1,01,267","93,785","37,72,353","2,95,253","2,758","1,48,801","9,892","5,90,911","30,542","94,956","1,28,283","44,227","1,79,020",44,"38,511","25,574","32,995","2,968","20,919","18,020","7,693","9,112","82,155","17,68,30,863",
5. 2. Crédito a la clientela  ,"17,29,75,233","23,05,83,497","7,59,76,698","8,79,83,237","6,19,95,360","4,02,16,894","2,66,06,034","2,03,32,475","1,86,85,403","55,53,090",0,"1,25,70,910","73,72,942","79,30,296","25,23,883",0,"21,805","1,07,37,706","47,58,276","33,95,712","19,90,523","3,36,180","48,02,574","2,74,448","10,42,147","17,18,859","94,876","36,592","10,49,196","20,99,998","14,36,692","6,01,950","45,853","2,24,295","6,30,627","50,09,104","6,67,003","9,61,973","3,87,201","4,87,548","4,34,003","15,15,708","4,20,457","1,40,114",36,"85,014","18,39,144","3,21,893",707,"34,598","29,91,395",0,"4,581",791,"1,914","2,15,049","56,372","68,011",0,"10,35,303",7,0,"5,001",0,"16,527","82,33,03,715",
