Var,0049,0182,0075,0030,0081,0128,0072,0065,0093,0224,0061,0042,0019,0038,0073,0198,0036,0231,0046,0086,0130,0223,0216,0122,0233,0094,0138,0057,0078,0185,0234,0125,0236,0232,0227,0031,0229,0142,0129,0059,0009,0186,0063,0003,0225,0211,0058,0136,0226,0113,0184,1490,0220,0011,0188,0133,0200,0219,0132,0235,0121,0091,0083,
3. 1. Depósitos en entidades de crédito  ,"1,30,75,549",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,30,75,549"
3. 2. Crédito a la clientela  ,"89,28,207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"89,28,207"
3. 3. Valores representativos de deuda ,0,0,0,0,0,0,"3,94,697",0,0,0,0,0,0,0,0,0,0,0,"1,579",0,0,0,0,0,0,0,0,0,0,0,"21,285",0,0,"1,230",0,0,0,0,0,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,19,772"
3. 4. Instrumentos de capital  ,0,0,0,0,0,"27,261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,464",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"32,725"
Pro-memoria: Prestados o en garantía  ,"1,48,10,224",0,0,0,0,0,"3,94,697",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,52,04,921"
4. ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA  ,"2,19,95,981","2,87,08,633","1,30,13,870","1,10,07,009","1,03,22,780","43,04,227","19,00,167","44,75,159","16,50,381",0,"1,59,043","13,53,119","3,321",0,"5,69,082","18,59,684",832,"41,61,183","2,00,231","10,18,708","3,11,334",0,63,"6,310","2,42,550","36,617","67,593",0,"1,86,787","16,600","1,49,201",32,"13,658","4,61,053",302,"31,256","30,484","30,082",61,"9,320",7,"3,61,355",8,0,0,"73,209","1,857",0,605,"1,312","30,576","18,698","1,25,051",32,"14,886",0,260,0,0,"11,126",0,507,0,"10,89,36,202"
4. 1. Valores representativos de deuda ,"2,10,75,178","2,39,83,714","1,27,16,275","1,05,19,012","94,95,668","42,45,034","18,60,265","44,66,003","16,16,295",0,"99,866","13,32,149",287,0,"5,69,082","18,48,605",0,"41,61,183","1,70,390","8,49,389","3,10,820",0,0,0,"2,38,921","34,962","66,686",0,"1,75,019","12,479","1,37,855",0,"12,796","4,61,053",0,"22,038","30,484","27,174",0,"3,762",0,"3,12,955",0,0,0,"4,697",6,0,0,0,"26,826","18,695","1,25,049",0,0,0,0,0,0,"11,126",0,0,0,"10,10,41,798"
4. 2. Instrumentos de capital  ,"9,20,803","47,24,919","2,97,595","4,87,997","8,27,112","59,193","39,902","9,156","34,086",0,"59,177","20,970","3,034",0,0,"11,079",832,0,"29,841","1,69,319",514,0,63,"6,310","3,629","1,655",907,0,"11,768","4,121","11,346",32,862,0,302,"9,218",0,"2,908",61,"5,558",7,"48,400",8,0,0,"68,512","1,851",0,605,"1,312","3,750",3,2,32,"14,886",0,260,0,0,0,0,507,0,"78,94,404"
Pro-memoria: Prestados o en garantía  ,"70,91,146","35,00,739","60,40,121","58,66,396","53,28,853","31,87,992","13,04,783","44,75,159","13,25,122",0,"45,304","10,02,950",287,0,0,"3,77,021",0,"25,74,101","62,828","3,73,806","58,762",0,0,0,0,0,"28,721",0,"1,18,050",0,"48,978",0,"12,771",0,0,0,0,"11,139",0,0,0,"1,37,781",0,0,0,"2,860",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,29,75,670"
5. INVERSIONES CREDITICIAS  ,"22,50,33,726","27,63,56,173","10,16,71,819","8,03,51,010","7,30,73,932","4,43,01,114","2,46,36,619","2,73,74,648","2,15,36,266","2,19,75,396","81,32,979","52,81,823","1,58,27,961","52,05,539","32,83,356","83,45,655","67,93,230","1,32,28,845","35,92,056","52,31,573","66,53,600","12,71,672","21,82,150","28,42,464","5,55,703","13,86,557","15,12,246","11,23,546","7,23,042","12,04,229","6,66,534","17,43,149","20,30,929","3,81,449","13,18,165","5,07,579","9,03,382","4,07,201","22,68,824","7,79,853","75,28,891","1,82,246","32,13,473","3,48,824","29,29,847","2,85,026","7,15,159","5,18,667","9,02,122","66,833","1,18,273","80,596","26,092","2,41,979","16,447","3,54,147","1,07,648","1,19,921","33,045","14,535","17,829","12,159",0,"1,01,95,29,753"
