Var,0049,0182,0075,0030,0081,0128,0072,0065,0093,0224,0061,0042,0019,0038,0073,0198,0036,0231,0046,0086,0130,0223,0216,0122,0233,0094,0138,0057,0078,0185,0234,0125,0236,0232,0227,0031,0099,0229,0142,0129,0059,0009,0186,0063,0003,0225,0211,0058,0136,0226,0113,0184,1490,0220,0011,0188,0133,0200,0219,0132,0235,0121
3. 2. Crédito a la clientela  ,"1,27,19,287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3. 3. Valores representativos de deuda ,0,0,0,0,0,0,"4,89,514",0,0,0,0,0,0,0,0,0,0,0,"1,789",0,0,0,0,0,0,0,0,0,0,0,"21,765",0,0,"1,209",0,0,0,0,0,0,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,085",0
3. 4. Instrumentos de capital  ,0,0,0,0,0,"38,835",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,569",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pro-memoria: Prestados o en garantía  ,"72,13,841",0,0,0,0,0,"4,89,514",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4. ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA  ,"2,25,87,624","2,79,71,872","1,29,27,176","1,05,81,241","1,00,73,358","40,39,872","17,26,647","44,20,868","10,59,870",0,"1,97,834","13,39,535","3,925",0,0,"20,12,634",832,"41,99,564","2,19,398","9,95,644","10,01,637",0,0,"6,310","2,40,416","78,252","66,874",0,"1,87,505","17,121","1,33,947",32,"18,144","2,47,870",300,"27,685","5,12,302","30,001","43,112",61,"9,294",7,"3,54,124",8,0,0,"78,791","1,543",0,654,"1,306","51,890","11,277","1,14,708",32,"15,157",0,260,0,0,0,0
4. 1. Valores representativos de deuda ,"2,15,77,161","2,29,44,653","1,26,24,201","1,03,54,624","92,72,938","39,85,432","16,83,934","44,11,818","10,24,706",0,"1,43,476","13,18,328",288,0,0,"20,01,811",0,"41,99,564","1,84,621","8,23,361","10,01,047",0,0,0,"2,36,511","76,669","65,952",0,"1,75,265","12,122","1,21,620",0,"17,308","2,47,870",0,"18,314","5,12,288","30,001","40,138",0,"3,693",0,"3,05,438",0,0,0,"5,856",0,0,0,0,"48,140","11,277","1,14,706",0,0,0,0,0,0,0,0
4. 2. Instrumentos de capital  ,"10,10,463","50,27,219","3,02,975","2,26,617","8,00,420","54,440","42,713","9,050","35,164",0,"54,358","21,207","3,637",0,0,"10,823",832,0,"34,777","1,72,283",590,0,0,"6,310","3,905","1,583",922,0,"12,240","4,999","12,326",32,836,0,300,"9,371",14,0,"2,974",61,"5,601",7,"48,686",8,0,0,"72,935","1,543",0,654,"1,306","3,750",0,2,32,"15,157",0,260,0,0,0,0
Pro-memoria: Prestados o en garantía  ,"87,20,962","54,24,103","1,14,39,235","56,01,752","63,35,432","29,63,141","16,33,715","44,20,868","5,18,288",0,"41,719","8,84,646",0,0,0,"9,36,147",0,"15,88,044","61,675","2,18,869","7,06,721",0,0,0,0,0,"25,698",0,0,0,"31,191",0,"17,084",0,0,0,0,0,"4,405",0,0,0,"1,32,347",0,0,0,"2,999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5. INVERSIONES CREDITICIAS  ,"23,14,04,117","26,65,14,521","10,20,60,285","8,70,38,196","6,71,05,543","4,43,06,843","2,48,37,792","2,83,22,946","2,16,32,308","2,16,73,204","80,36,978","76,26,815","1,59,03,450","61,27,371","42,68,025","72,01,145","78,15,978","1,29,05,909","35,41,771","53,29,997","70,23,653","14,02,090","20,18,921","27,37,699","7,56,019","14,39,064","15,08,452","9,69,642","7,31,739","12,72,969","6,59,798","19,15,951","21,04,135","3,54,743","13,02,864","5,97,499","1,14,474","9,05,142","4,39,288","11,73,410","7,44,832","76,00,154","1,63,507","34,40,103","3,52,152","29,23,428","2,93,518","7,80,975","5,07,633","8,79,403","66,332","1,12,275","89,663","31,944","2,59,491","57,010","3,17,559","1,05,141","1,39,617","32,923","14,693","17,965"
5. 1. Depósitos en entidades de crédito ,"4,81,78,682","3,17,37,779","98,10,401","1,43,15,271","35,57,303","11,71,765","12,88,446","14,10,712","4,16,576","1,56,03,569","2,53,679","1,62,376","11,56,019","61,27,371","34,01,440","67,18,561","60,10,010","8,30,240","39,170","3,80,335","12,68,865","11,596","9,561","12,49,417","6,54,219","10,66,469","34,752","9,54,256","67,207","4,11,056","78,453","34,856","54,614","1,79,316","2,37,964","99,517","47,641","7,486","60,024","11,73,410","1,21,855","25,01,433","37,659","33,88,397","2,54,008","82,362","26,192","1,09,553","4,27,724","2,69,582","66,332","1,10,944","73,077","30,133","2,14,825","47,908",82,"33,139","45,481","32,923","13,181","17,965"
5. 2. Crédito a la clientela  ,"17,58,04,525","23,34,10,874","9,22,49,884","7,23,48,411","6,35,48,240","4,31,35,078","2,25,12,809","2,69,12,234","1,89,01,754","45,36,714","77,83,299","74,64,439","1,47,47,431",0,"25,573","4,82,584","18,05,968","1,20,75,669","35,02,601","49,49,662","53,55,590","13,90,494","20,09,360","14,88,282","1,01,800","3,72,595","14,73,700","15,386","6,64,532","8,61,913","5,81,345","17,08,199","20,49,521","1,75,427","10,64,900","4,97,982","66,833","8,97,656","3,79,264",0,"6,22,977","50,98,721","1,25,848","51,706","98,144","28,41,066","2,67,326","6,71,422","79,909","6,09,821",0,"1,331","16,586","1,811","44,666","9,102","3,17,477","71,966","92,579",0,"1,512",0
5. 3. Valores representativos de deuda  ,"74,20,910","13,65,868",0,"3,74,514",0,0,"10,36,537",0,"23,13,978","15,32,921",0,0,0,0,"8,41,012",0,0,0,0,0,"3,99,198",0,0,0,0,0,0,0,0,0,0,"1,72,896",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,"1,557",0,0,0
