Var,0049,0182,0030,0075,0081,0128,0065,0072,0093,0224,0038,0019,0042,0061,0036,0129,0073,0231,0086,0046,0223,0198,0130,0094,0185,0122,0233,0099,0227,0216,0138,0234,0057,0232,0078,0009,0059,0229,0211,0226,0142,0125,0031,0186,0063,0003,0217,0058,0220,0136,0225,0113,0188,0184,0011,0133,0200,0219,0132,0115,0121,0091,0083,1490,,,
3. 1. Depósitos en entidades de crédito  ,"1,89,67,615",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,89,67,615",,3. 1. Depósitos en entidades de crédito  
3. 2. Crédito a la clientela  ,"14,49,389",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,49,389",,3. 2. Crédito a la clientela  
3. 3. Valores representativos de deuda ,0,0,0,0,0,0,0,"9,05,471",0,0,0,0,0,0,0,0,0,0,0,"1,565",0,0,0,0,0,0,0,0,0,0,0,"18,130",0,"1,146",0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,26,610",,3. 3. Valores representativos de deuda 
3. 4. Instrumentos de capital  ,0,0,0,0,0,"16,361",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,"21,893",,3. 4. Instrumentos de capital  
Pro-memoria: Prestados o en garantía  ,"99,23,884",0,0,0,0,0,0,"8,91,709",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,08,15,593",,Pro-memoria: Prestados o en garantía  
4. ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA  ,"2,79,73,897","3,59,63,801","95,85,588","1,43,68,633","74,98,378","46,66,410","35,27,980","26,84,600","7,79,071",0,0,"6,238","11,40,552","1,52,043",832,61,0,"45,81,184","3,30,460","2,01,919",0,"17,53,447","1,80,243","43,614","17,193","6,468","68,259","7,01,733",314,"2,258","1,43,699","1,47,916",0,"2,61,431","1,71,637",415,"8,017","6,081","58,087","1,765","38,071",32,"29,452","2,41,458",8,0,510,"1,864","1,43,726",0,0,"8,076","15,745","88,196",0,0,378,0,0,0,0,0,0,0,"11,76,01,740",,4. ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA  
4. 1. Valores representativos de deuda ,"2,65,77,648","3,06,09,887","93,12,086","1,40,22,488","67,08,066","46,24,157","35,17,799","25,99,110","6,57,848",0,0,501,"11,17,975","1,04,338",0,0,0,"45,81,184","1,59,587","1,64,194",0,"17,41,509","1,79,906","41,891","15,206",0,"64,198","7,01,719",0,"2,258","1,42,768","1,32,999",0,"2,61,431","1,55,512",0,636,"6,081","2,178",0,"37,377",0,"18,889","1,92,764",0,0,0,0,"1,43,725",0,0,0,0,"84,446",0,0,0,0,0,0,0,0,0,0,"10,86,82,361",,4. 1. Valores representativos de deuda 
4. 2. Instrumentos de capital  ,"13,96,249","53,53,914","2,73,502","3,46,145","7,90,312","42,253","10,181","85,490","1,21,223",0,0,"5,737","22,577","47,705",832,61,0,0,"1,70,873","37,725",0,"11,938",337,"1,723","1,987","6,468","4,061",14,314,0,931,"14,917",0,0,"16,126",415,"7,381",0,"55,909","1,765",694,32,"10,563","48,694",8,0,510,"1,864",1,0,0,"8,076","15,745","3,750",0,0,378,0,0,0,0,0,0,0,"89,19,380",,4. 2. Instrumentos de capital  
Pro-memoria: Prestados o en garantía  ,"4,16,383","2,37,77,435","81,92,593","1,11,62,842","43,90,010","38,72,052","35,27,980","13,83,029","2,25,428",0,0,0,"8,67,269","51,343",0,0,0,"8,35,663","3,797","25,118",0,"3,29,686","6,754",0,0,0,0,0,0,0,"85,088","38,419",0,0,0,0,0,0,0,0,"7,051",0,0,"28,740",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,92,26,680",,Pro-memoria: Prestados o en garantía  
5. INVERSIONES CREDITICIAS  ,"22,45,83,742","25,63,55,216","10,03,31,071","10,22,83,531","6,73,25,086","4,34,89,243","3,05,05,411","2,39,52,804","2,10,55,859","2,16,24,751","70,59,170","1,53,90,937","75,15,703","84,35,259","83,69,009","20,16,197","38,24,338","1,15,60,571","56,74,242","34,44,665","19,35,774","57,36,166","59,31,780","22,85,090","18,72,244","38,24,679","11,14,204","1,77,153","13,42,474","20,46,468","14,96,272","6,43,605","10,97,796","5,27,412","7,21,700","74,64,994","6,94,788","10,40,117","3,93,242","7,64,800","5,41,716","18,20,294","5,22,882","2,42,908","37,80,185","3,32,165","18,27,314","5,03,854","12,745","8,67,863","30,46,788","1,25,749","1,36,672","94,360","1,59,044","2,37,837","84,579","1,68,475","33,090","20,893","17,838","12,694","9,118","1,02,956","1,02,06,09,582",,5. INVERSIONES CREDITICIAS  
