Var,0049,0182,0030,0075,0081,0128,0065,0072,0093,0224,0004,0038,0019,0042,0061,1004,0036,0129,0073,0231,0086,0046,0223,0198,0130,0094,0185,0122,0233,0099,0227,0216,0138,0234,0057,0232,0078,0009,0059,0229,0211,0226,0142,0125,0031,0186,0063,0003,0217,0058,0220,0136,0225,0113,0188,0184,0011,0133,0200,0219,0132,0205,0115,0121,0091,0083,1490
3. 1. Depósitos en entidades de crédito  ,"1,30,48,038",0,0,0,0,0,0,0,0,0,0,0,0,"52,752",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3. 2. Crédito a la clientela  ,"13,84,420",0,0,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3. 3. Valores representativos de deuda ,0,0,0,0,0,0,0,"8,89,207",0,0,0,0,0,0,0,0,0,0,0,0,0,"9,747",0,0,0,0,0,0,0,0,0,0,0,"14,190",0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3. 4. Instrumentos de capital  ,0,0,0,0,0,"9,070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,762",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
Pro-memoria: Prestados o en garantía  ,"67,14,591",0,0,0,0,0,0,"8,89,207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4. ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA  ,"2,50,16,009","2,46,82,007","1,50,11,683","1,24,78,741","73,13,554","59,14,923","14,73,957","14,79,812","5,93,958",0,"68,949",0,"3,633","7,45,792","1,42,684","22,00,357","1,829",61,"3,47,285","47,05,921","3,68,174","2,18,908",0,"15,31,705","1,21,146","64,743","21,994","6,468","33,468","7,09,009","85,344","2,025","1,12,863","1,64,022",0,"1,64,310","1,19,142",201,"4,239","6,716","55,910","3,737","36,868",32,"14,088","1,83,803",8,0,244,"1,395",1,0,0,"62,390","15,051","19,428",0,0,440,"1,016",0,0,0,0,0,0,3
4. 1. Valores representativos de deuda ,"2,34,81,364","1,83,95,609","1,46,33,711","1,19,50,636","65,61,856","58,89,950","14,72,584","13,93,314","4,55,415",0,"68,907",0,605,"7,19,447","96,106","22,00,357",0,0,"3,47,285","47,05,921","1,87,940","1,84,985",0,"15,19,297","1,20,808","62,104","11,226",0,"33,362","7,08,693","85,030","2,025","1,11,918","1,50,630",0,"1,64,310","1,04,813",0,570,"6,716","2,014",0,"34,190",0,"6,751","1,35,109",0,0,0,0,0,0,0,0,0,"15,678",0,0,0,"1,016",0,0,0,0,0,0,0
4. 2. Instrumentos de capital  ,"15,34,645","62,86,398","3,77,972","5,28,105","7,51,698","24,973","1,373","86,498","1,38,543",0,42,0,"3,028","26,345","46,578",0,"1,829",61,0,0,"1,80,234","33,923",0,"12,408",338,"2,639","10,768","6,468",106,316,314,0,945,"13,392",0,0,"14,329",201,"3,669",0,"53,896","3,737","2,678",32,"7,337","48,694",8,0,244,"1,395",1,0,0,"62,390","15,051","3,750",0,0,440,0,0,0,0,0,0,0,3
Pro-memoria: Prestados o en garantía  ,"52,02,681","2,22,33,635","65,95,562","87,21,327","31,13,277","41,52,701","14,73,957","8,85,728","2,47,131",0,311,0,0,"4,42,399","59,728",0,0,0,0,"2,80,390","14,314","47,771",0,"3,46,796","11,724",0,0,0,0,0,"53,325",0,"73,807","1,14,299",0,0,0,0,0,0,0,0,"7,006",0,0,"10,471",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5. INVERSIONES CREDITICIAS  ,"23,02,26,244","25,98,41,264","8,90,47,727","8,57,67,698","6,65,87,418","4,39,40,828","2,90,79,219","2,16,30,558","2,07,63,954","1,84,63,153","1,37,01,619","1,20,14,492","1,63,55,711","76,76,606","81,49,340","85,57,707","88,66,761","53,03,245","41,89,707","1,08,40,957","70,95,437","33,98,892","21,54,673","35,84,039","61,59,453","19,80,801","18,97,498","34,38,065","13,96,716","2,59,572","12,50,892","21,51,918","15,50,499","6,69,919","6,93,750","6,53,441","6,75,302","69,09,840","7,92,965","10,75,908","5,05,211","9,53,526","5,80,240","15,00,862","4,96,518","2,66,647","38,22,102","3,50,535","18,61,073","4,80,819","1,25,767","3,75,083","31,57,494","1,15,979","1,21,996","96,134","1,48,091","1,96,706","1,08,382","95,495","34,095","10,81,418","21,150","17,465","12,708","9,104","93,956"
