Var,0182,0049,0030,0081,0075,0128,0072,0065,0093,0224,0004,1004,0019,0061,0042,0038,0129,0036,0082,0073,0097,0046,0231,0198,0095,0094,0086,0223,0130,0122,0185,0024,0227,0057,0216,0138,0233,0078,0059,0232,0186,0142,0228,0099,0217,0031,0229,0003,0125,0211,0226,0225,0058,0063,0220,0113,0009,0188,0136,0133,0011,0200,0021,0205,0219,0132,0184,0115,0121,0091,0083,,
3. OTROS ACTIVOS FINANC. A VALOR RAZONABLE CON CAMBIOS EN PÉR.Y GAN. ..........................................................................................................,0,"3,46,63,925",0,0,0,"24,327","2,51,110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20,858",0,0,0,0,0,3,0,0,0,0,0,0,0,0,"34,909",0,258,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,49,95,419",
3.1. Depósitos en entidades de crédito ..........................................................................................................,0,"3,33,22,646",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,33,22,646",
3.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,"2,00,022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,00,022",
3.3. Crédito a la clientela ......................................................................................................................................................................,0,"11,41,257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,41,257",
3.4. Valores representativos de deuda ..........................................................................................................,0,0,0,0,0,0,"2,30,643",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20,858",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,51,759",
3.5. Otros instrumentos de capital ..........................................................................................................,0,0,0,0,0,"24,327","20,467",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"34,909",0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"79,735",
Pro-memoria: Prestados o en garantía ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4. ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA ..........................................................................................................,"1,88,13,954","1,57,64,429","1,06,61,483","55,58,825","66,63,742","60,37,051","14,79,658","13,44,317","2,06,626","15,891","66,370","27,75,252","6,30,586","1,78,165","1,10,017",0,61,832,"8,598",0,"9,169","4,09,130","25,74,218","6,97,095","13,910","42,749","3,06,108",0,"9,112","6,440","15,445","5,473","1,82,656",0,"2,025","98,399","2,093","74,262","7,368",0,"83,339","81,444",32,"1,37,377",244,"10,024","2,025","1,319",32,"1,59,234",0,0,"3,434",8,"6,444","1,73,584",201,"42,544",0,7,2,"2,060",0,30,"1,024",0,"3,750",0,0,0,0,"7,54,79,667",
4.1. Valores representativos de deuda ..........................................................................................................,"83,44,731","1,44,23,421","1,04,78,592","54,57,129","66,07,303","59,98,643","9,79,116","13,30,831","66,943","15,078","66,322","27,75,252","2,01,586","1,06,434","44,097",0,0,0,"8,519",0,"8,843","3,81,422","25,74,218","6,87,936","12,752","37,123","63,060",0,"8,858",0,8,"5,426","1,82,330",0,"2,025","97,901","2,025","38,643",0,0,"82,871","74,427",0,"1,37,363",0,"3,875","2,025",0,0,"23,393",0,0,0,0,"6,443",0,0,0,0,0,0,0,0,0,"1,024",0,0,0,0,0,0,"6,13,37,988",
4.2. Otros instrumentos de capital ..........................................................................................................,"1,04,69,223","13,41,008","1,82,891","1,01,696","56,439","38,408","5,00,542","13,486","1,39,683",813,48,0,"4,29,000","71,731","65,920",0,61,832,79,0,326,"27,708",0,"9,159","1,158","5,626","2,43,048",0,254,"6,440","15,437",47,326,0,0,498,68,"35,619","7,368",0,468,"7,017",32,14,244,"6,149",0,"1,319",32,"1,35,841",0,0,"3,434",8,1,"1,73,584",201,"42,544",0,7,2,"2,060",0,30,0,0,"3,750",0,0,0,0,"1,41,41,679",
Pro-memoria: Prestados o en garantía ..........................................................................................................,"38,69,227","11,15,872","52,60,199","15,57,284","64,881","40,53,393","7,50,600","8,44,056",14,0,817,"3,01,351","9,420","81,725",0,0,0,0,90,0,782,"1,78,710","7,359","41,177","1,266",0,749,0,"8,857",0,50,0,"1,05,370",0,0,0,0,0,0,0,"9,849","38,447",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,83,01,545",
