Var,0182,0049,0030,0081,0075,0128,0072,0065,0093,0224,0004,1004,0019,0061,0042,0038,0129,0036,0082,0073,0097,0046,0231,0198,0095,0094,0086,0223,0130,0122,0131old,0185,0024,0227,0057,0216,0138,0233,0078,0059,0232,0186,0142,0228,0099,0217,0031,0229,0003,0125,0211,0226,0225,0058,0063,0220,0113,0009,0188,0136,0133,0011,0200,0021,0205,0219,0132,0184,0115,0121,0091,0083,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER CENTRAL HISPANO ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANCO POPULAR ESPAÑOL ,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCO DE ANDALUCÍA,BANCO DE CRÉDITO LOCAL DE ESPAÑA,DEUTSCHE BANK S.A.E.,BANCA MARCH,BANCO GUIPUZCOANO,BANESTO BANCO DE EMISIONES ,BBVA BANCO DE FINANCIACIÓN,SANTANDER INVESTMENT,BANCO DE CASTILLA ,OPEN BANK SANTANDER CONSUMER,BANCO DE GALICIA,BANCO GALLEGO,DEXIA SABADELL BANCO LOCAL,BANCO COOPERATIVO ESPAÑOL ,BANCO DE VASCONIA ,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO BANIF,GENERAL ELECTRIC CAPITAL BANK,BANCO CAIXA GERAL,CITIBANK ESPAÑA ,BANCO ESPIRITO SANTO ,BANCO URQUIJO SABADELL BANCA PRIVADA ,BANCO DE CRÉDITO BALEAR,UNO-E BANK,BANCO DEPOSITARIO BBVA ,BANCO POPULAR HIPOTECARIO ,BANKOA ,POPULAR BANCA PRIVADA,BANCA PUEYO,BANCO DE MADRID ,BANCO INVERSIS NET,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANCO EXELBANK,ALTAE BANCO,BANCO HALIFAX HISPANIA,BANCO ETCHEVERRÍA ,BANCOPOPULAR-E,BANCO DE DEPÓSITOS,BANCOFAR ,EBN BANCO DE NEGOCIOS,UBS ESPAÑA,BANCO CETELEM,BNP PARIBAS ESPAÑA ,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO FINANTIA SOFINLOC ,BANCO INDUSTRIAL DE BILBAO ,"FINANZIA, BANCO DE CRÉDITO ",BANCO ALCALÁ ,BANCO ÁRABE ESPAÑOL ,BANCO DE EUROPA ,ALLFUNDS BANK,PRIVAT BANK ,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO EUROPEO DE FINANZAS,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS
9. AJUSTES A ACTIVOS FINANCIEROS POR MACRO-COBERTURAS ..........................................................................................................,0,0,0,0,0,"-7,730",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-7,730"
10. DERIVADOS DE COBERTURA ..........................................................................................................,"14,99,765","11,64,248","2,96,041","2,70,726","1,37,781","81,287","11,936","88,737","7,338","37,508","3,421","1,91,357","13,630","26,237","3,996",0,0,46,"2,300","5,156","1,343","9,332","5,85,912",0,815,0,0,0,"2,306",0,0,"24,217",853,0,0,373,0,"17,589",205,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,"9,545",0,0,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"44,94,983"
11. ACTIVOS NO CORRIENTES EN VENTA ..........................................................................................................,"34,499","32,018","22,685","63,965","35,647","4,054","3,569","2,756","2,236","1,745","13,872",0,0,819,"1,766",0,0,0,"5,621",0,"5,169","1,078",0,0,"3,027",0,0,364,"2,477",0,0,0,951,3,0,233,458,0,33,0,0,414,21,0,0,22,15,0,0,94,"1,024",0,0,0,0,28,1,502,0,"4,333",0,0,0,0,316,0,3,0,0,0,0,0,"2,45,818"
11.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.2. Crédito a la clientela ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.3. Valores representativos de deuda ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.4. Instrumentos de capital ......................................................................................................................................................................,0,0,0,"42,312",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,266",0,0,0,0,0,0,0,0,0,0,0,0,"46,578"
11.5. Activo material ...............................................................................................................................................................................,"34,499","32,018","22,685","21,653","35,647","4,054","3,569","2,756","2,236","1,745","13,872",0,0,819,"1,766",0,0,0,"5,621",0,"5,169","1,078",0,0,"3,027",0,0,364,"2,477",0,0,0,951,3,0,233,458,0,33,0,0,414,21,0,0,22,15,0,0,94,"1,024",0,0,0,0,28,1,502,0,67,0,0,0,0,316,0,3,0,0,0,0,0,"1,99,240"
11.6. Resto de activos ..................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12. PARTICIPACIONES ..................................................................................................................................................................,"1,49,91,558","3,93,66,519","9,58,654","9,42,117","13,07,886","1,36,563","1,04,112","40,818","1,42,238","31,21,030",361,"1,537","41,251","1,68,412","1,42,446",0,7,"1,15,718",270,0,177,"25,185",0,"19,216",180,988,"13,929","3,44,397",103,"1,51,102","6,300",0,90,"7,385",0,0,"7,795","4,126","1,119","47,316","1,07,433","28,403","14,537",0,1,30,6,0,0,0,"10,018","9,704",676,"23,290","1,74,417",0,"1,45,119","94,555","1,112",0,0,0,"5,284",0,9,0,0,0,0,10,0,0,"6,28,25,509"
12.1. Entidades asociadas ......................................................................................................................................................................,"5,14,213","32,47,590","8,993","1,46,075","3,211",653,"1,133",0,"42,250","5,395",0,0,0,0,"1,958",0,7,0,0,0,0,"3,024",0,"7,767",0,0,240,"3,22,370",0,0,0,0,0,95,0,0,0,0,0,0,0,"24,000","2,292",0,0,0,0,0,0,0,"1,386",0,0,0,0,0,325,137,0,0,0,0,0,0,0,0,0,0,0,10,0,0,"43,33,124"
12.2. Entidades multigrupo ......................................................................................................................................................................,"4,065","3,99,961","1,08,189","18,344","8,225","36,405","2,398",0,"33,987","6,912",361,0,"2,411",0,0,0,0,0,270,0,177,0,0,0,180,86,"13,508","14,860",0,0,0,0,90,0,0,0,0,0,0,"45,000",0,0,0,0,0,0,0,0,0,0,"7,621",0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,"7,03,251"
12.3. Entidades del grupo ......................................................................................................................................................................,"1,44,73,280","3,57,18,968","8,41,472","7,77,698","12,96,450","99,505","1,00,581","40,818","66,001","31,08,723",0,"1,537","38,840","1,68,412","1,40,488",0,0,"1,15,718",0,0,0,"22,161",0,"11,449",0,902,181,"7,167",103,"1,51,102","6,300",0,0,"7,290",0,0,"7,795","4,126","1,119","2,316","1,07,433","4,403","12,245",0,1,30,6,0,0,0,"1,011","9,704",676,"23,290","1,74,417",0,"1,44,794","94,418","1,112",0,0,0,"5,083",0,9,0,0,0,0,0,0,0,"5,77,89,134"
13. CONTRATOS DE SEGUROS VINCULADOS A PENSIONES ..........................................................................................................,"21,14,052","30,79,564","15,01,475","2,85,549","98,768",0,"41,906","86,241","9,435","29,602","9,085","6,343",0,"1,678",0,0,0,560,"7,706",0,"7,113",0,10,0,"5,629",0,"1,954",0,"29,784",0,"5,819",0,"9,375",0,0,0,0,0,0,0,0,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"73,32,244"
15. ACTIVO MATERIAL ..................................................................................................................................................................,"20,93,383","14,92,839","9,10,398","7,03,042","3,53,369","3,29,403","2,96,758","1,79,713","2,06,023","1,076","59,396","25,511","49,467","1,11,928","88,690",0,0,587,"26,918",36,"24,222","30,756",210,"1,320","19,315","10,628","27,806","3,371","24,608","10,020","9,919","34,215","18,292",634,4,163,"25,146","3,772","14,865","6,183","8,345","7,028","9,010",328,"4,186","3,280","9,930",821,11,"4,114",374,"4,416","3,468","1,157",24,"2,867",99,"4,151","1,328","29,095",12,"3,220",992,4,367,"2,582",2,0,4,0,0,0,"72,95,201"
15.1. De uso propio ..................................................................................................................................................................,"20,82,500","14,89,813","8,91,699","7,02,323","3,48,252","3,11,216","2,88,592","1,78,479","1,96,695","1,076","57,847","10,887","43,543","1,11,894","88,690",0,0,587,"26,639",36,"23,667","30,756",210,"1,320","19,139","10,628","27,806","3,371","24,608","10,020","9,919","34,215","16,449",634,4,163,"24,327","3,772","12,740","6,183","8,345","7,028","8,923",328,"2,806","3,280","8,855",821,11,"4,114",374,"4,416","3,468","1,157",24,"2,867",99,"4,151","1,328","10,752",12,"3,220",992,4,367,"2,582",2,0,4,0,0,0,"71,71,029"
15.2. Inversiones inmobiliarias ......................................................................................................................................................................,"10,883","3,026","18,699",719,"5,117",0,"8,166","1,234","9,328",0,"1,549","14,624","5,924",0,0,0,0,0,279,0,555,0,0,0,176,0,0,0,0,0,0,0,"1,843",0,0,0,819,0,"2,047",0,0,0,87,0,"1,380",0,"1,075",0,0,0,0,0,0,0,0,0,0,0,0,"18,343",0,0,0,0,0,0,0,0,0,0,0,0,"1,05,873"
15.3. Otros activos cedidos en arrendamiento operativo ..........................................................................................................,0,0,0,0,0,"18,187",0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18,299"
15.4. Afecto a la Obra social ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pro-memoria: Adquirido en arrendamiento financiero ..........................................................................................................,35,"4,58,158","14,891",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,73,084"
16. ACTIVO INTANGIBLE ..................................................................................................................................................................,"66,959",434,"31,434","4,48,565","15,654","3,922","9,232","7,735",843,"15,490",130,0,0,861,0,0,0,0,87,0,43,"7,771",0,638,43,516,"6,556",430,"7,220","21,112","8,071","1,02,170",44,0,19,0,140,12,0,"8,346","3,755",169,513,"5,134","1,415",697,0,44,0,111,0,432,"11,069","10,292",0,51,0,"4,272",0,0,0,"2,197","1,039",0,0,0,0,0,0,0,0,0,"8,05,667"
16.1. Fondo de comercio ......................................................................................................................................................................,0,0,0,"4,13,453",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"60,384",0,0,0,0,0,0,0,0,0,0,0,"4,719",0,0,0,0,0,0,0,0,"10,981","10,017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,99,554"
16.2. Otro activo intangible ......................................................................................................................................................................,"66,959",434,"31,434","35,112","15,654","3,922","9,232","7,735",843,"15,490",130,0,0,861,0,0,0,0,87,0,43,"7,771",0,638,43,516,"6,556",430,"7,220","21,112","8,071","41,786",44,0,19,0,140,12,0,"8,346","3,755",169,513,415,"1,415",697,0,44,0,111,0,432,88,275,0,51,0,"4,272",0,0,0,"2,197","1,039",0,0,0,0,0,0,0,0,0,"3,06,113"
17. ACTIVOS FISCALES ..................................................................................................................................................................,"33,08,094","30,29,246","6,53,576","7,12,334","3,51,682","2,22,095","1,66,859","2,97,101","81,051","87,552","65,040","20,558","99,087","56,402","27,341",0,54,"4,439","29,482",8,"24,436","37,053","5,994","3,061","9,410","4,774","6,614","3,545","15,541","36,097","22,194","5,015","18,536","19,750",348,"12,674","2,370","1,893","3,039","1,055",284,"4,237",394,"1,866",373,"6,066","2,170","1,253",75,"6,188","6,513",161,"9,169","1,214","3,598","2,638","9,884","22,473",209,912,"1,754","4,949",194,63,"5,342",316,19,18,0,100,332,0,"95,38,164"
17.1. Corrientes ..................................................................................................................................................................,"1,55,528","29,891","3,248","51,969","20,300","52,012","13,129","21,962","12,410","2,613","2,934",75,"1,001","1,873","2,772",0,0,389,"1,801",8,"1,964","9,948",19,"2,072","1,425","3,347",28,"3,094","1,330","3,138","2,286",59,852,320,0,49,"1,112",19,581,243,91,166,336,"1,271",37,0,859,9,8,"1,974","3,398",137,554,140,0,313,"9,849",0,206,404,0,"4,949",1,25,35,279,0,0,0,0,0,0,"4,30,842"
17.2. Diferidos ..................................................................................................................................................................,"31,52,566","29,99,355","6,50,328","6,60,365","3,31,382","1,70,083","1,53,730","2,75,139","68,641","84,939","62,106","20,483","98,086","54,529","24,569",0,54,"4,050","27,681",0,"22,472","27,105","5,975",989,"7,985","1,427","6,586",451,"14,211","32,959","19,908","4,956","17,684","19,430",348,"12,625","1,258","1,874","2,458",812,193,"4,071",58,595,336,"6,066","1,311","1,244",67,"4,214","3,115",24,"8,615","1,074","3,598","2,325",35,"22,473",3,508,"1,754",0,193,38,"5,307",37,19,18,0,100,332,0,"91,07,322"
18. PERIODIFICACIONES ..................................................................................................................................................................,"5,81,188","4,84,221","66,296","62,661","35,493","17,281","65,394","8,782","11,220","55,092","9,491",310,"41,809","7,871","5,056",0,0,"13,610","4,928","4,303","3,357","2,522",507,"2,474","2,928","2,132","33,113","6,465","3,921","15,643","8,348","5,840","1,745","2,409",8,6,746,"6,879",735,"1,664","16,883",111,"2,540","1,345","4,567",870,179,336,117,449,107,"11,760",243,"4,624",21,"2,171",8,"11,571",20,40,91,"52,678","2,199",6,183,59,0,9,0,3,0,2,"16,89,640"
19. OTROS ACTIVOS ..................................................................................................................................................................,"3,94,302","4,21,982","1,06,268","62,341","31,617","2,38,046","18,322","3,308","35,401","5,853","5,398","1,288","1,031","2,044","16,408",0,1,"5,103","1,250",513,706,"2,060",6,"43,924","1,091",0,"2,24,160","3,708","16,297","1,61,484",646,503,"2,700",835,0,6,798,782,0,"1,952",605,0,690,484,"4,815",0,270,357,0,52,11,0,"14,441",0,82,3,1,944,4,0,4,98,0,0,"1,256",250,2,0,0,1,59,0,"18,36,563"
TOTAL ACTIVO ,"33,23,36,585","28,71,17,608","10,59,39,794","6,95,98,644","6,97,66,878","4,85,61,202","2,49,31,700","2,54,06,371","1,70,12,106","1,90,88,105","1,13,25,727","1,13,66,948","1,56,79,560","82,57,180","89,98,862","54,18,577","70,35,757","80,95,425","46,74,492","39,97,167","40,71,223","35,64,700","83,60,757","77,65,351","35,98,716","29,90,715","57,09,954","25,48,927","41,30,125","36,79,461","35,29,843","24,61,014","19,52,736","14,83,386","7,83,158","24,14,484","15,54,876","8,83,016","7,04,674","7,96,902","9,20,498","6,62,865","5,93,219","4,93,667","3,89,767","18,96,965","4,27,182","10,74,177","3,83,874","10,87,321","6,74,340","12,82,440","29,28,002","3,05,571","32,92,801","3,84,635","3,06,133","39,35,950","1,79,584","1,44,067","1,54,012","2,04,924","66,725","41,065","11,62,379","1,05,881","32,898","23,602","20,180","16,805","13,052","9,115","1,17,08,06,402"
PASIVO Y PATRIMONIO NETO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASIVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. CARTERA DE NEGOCIACIÓN ......................................................................................................................................................................,"1,42,45,902","2,25,76,657","31,53,924","1,75,047","6,30,334","22,13,372","6,12,499","53,020","2,976","52,349","69,159","35,822","4,30,964","29,630","1,39,249","3,76,500","4,65,053","1,492","1,859",0,271,"6,806","1,17,574","3,28,203","8,225","5,25,046","1,04,185",0,0,22,"16,380","6,589",8,257,0,0,228,29,822,812,0,993,194,0,0,0,0,0,0,913,"1,877","7,009",0,11,0,183,0,207,"1,17,049",0,0,35,0,0,0,0,0,0,0,0,0,0,"4,65,09,736"
1.1. Depósitos de entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,05,153",0,"5,19,687",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,24,840"
1.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3. Depósitos de la clientela ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,17,049",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,17,049"
1.4. Débitos representados por valores negociables ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5. Derivados de negociación ......................................................................................................................................................................,"1,34,47,988","2,09,75,464","29,72,310","1,75,047","5,54,115","1,16,798","59,003","53,020","2,976","52,349","69,159","35,822","4,30,964","29,630","25,452","3,76,500","4,65,053","1,492","1,859",0,271,"6,806","1,17,574","1,23,050","8,225","5,359","1,04,185",0,0,22,"16,380","6,589",8,257,0,0,228,29,822,812,0,63,194,0,0,0,0,0,0,913,"1,877","7,009",0,11,0,183,0,207,0,0,0,35,0,0,0,0,0,0,0,0,0,0,"4,02,46,110"
1.6. Posiciones cortas de valores ..........................................................................................................,"7,97,914","16,01,193","1,81,614",0,"76,219","20,96,574","5,53,496",0,0,0,0,0,0,0,"1,13,797",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"54,21,737"
2. OTROS PASIVOS FINANC. A VALOR RAZONABLE CON CAMBIOS EN PÉR.Y GAN. ..........................................................................................................,0,"2,49,636",0,0,0,0,"19,59,396",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"48,223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22,57,255"
2.1. Depósitos de entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.2. Depósitos de la clientela ......................................................................................................................................................................,0,"2,49,636",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"48,223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,97,859"
2.3. Débitos representados por valores negociables ..........................................................................................................,0,0,0,0,0,0,"19,59,396",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"19,59,396"
3. PASIVOS FINANC. A VALOR RAZONABLE CON CAMBIOS EN PATRIM. NETO ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.1. Depósitos de entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.2. Depósitos de la clientela ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.3. Débitos representados por valores negociables ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4. PASIVOS FINANCIEROS A COSTE AMORTIZADO ..........................................................................................................,"29,10,93,523","22,36,66,927","9,48,04,335","6,36,21,923","6,46,65,112","4,45,31,037","2,05,93,309","2,39,96,063","1,59,67,425","1,47,08,300","1,01,03,159","1,06,64,462","1,43,69,760","74,51,575","81,67,350","49,42,474","65,00,498","78,03,096","41,10,406","39,33,902","36,23,873","33,51,605","73,07,183","72,31,369","33,01,932","23,76,021","51,08,979","21,69,894","37,43,974","30,91,634","33,77,844","22,41,612","17,13,856","13,31,262","7,02,224","21,89,638","14,50,064","7,72,592","6,31,153","7,52,636","8,30,804","5,42,433","5,14,313","4,50,123","3,51,248","18,34,844","3,97,269","10,08,811","3,28,020","10,19,737","4,98,849","11,92,112","25,95,418","2,25,415","29,28,725","3,51,146",84,"37,45,915",123,"40,314","22,782","82,853","41,275","15,591","11,22,182","80,635",0,541,9,3,"1,298",23,"1,01,23,86,876"
4.1. Depósitos de bancos centrales ..........................................................................................................,"1,04,05,857","24,38,819","8,21,740","1,50,648",0,24,0,"2,27,871",0,0,0,"18,67,789",0,"1,49,423","3,50,196",0,0,0,0,0,0,0,"18,79,363","22,105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,218",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,83,22,053"
4.2. Depósitos de entidades de crédito ..........................................................................................................,"3,89,30,008","3,39,18,786","1,94,81,460","52,14,130","96,50,882","53,14,056","8,84,372","57,98,837","21,08,500","64,53,086","15,42,059","7,18,592","67,53,225","2,37,860","7,48,573",0,"88,261","29,37,688","6,51,469","13,864","9,76,088","7,24,357","26,26,159","45,49,075","11,31,757","45,616","31,51,019","1,02,283","19,28,675","14,50,922","17,36,401","7,06,001","2,96,784","1,45,199","1,393","15,72,122","7,25,330","1,49,337",52,"7,877","75,285",543,"3,936","8,141","6,966","14,13,289",471,"6,77,048","11,551","7,12,680","2,17,575","8,05,825","24,71,108","14,065","29,28,533","83,541",0,"37,25,660",0,"34,358",762,"5,148",584,0,"11,12,773","53,693",0,0,0,0,"1,298",0,"17,78,36,988"
4.3. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,"23,256",0,0,0,"10,703","10,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"54,213"
4.4. Depósitos de la clientela ......................................................................................................................................................................,"18,19,44,927","13,28,21,313","5,15,59,369","3,41,58,641","3,82,95,568","2,99,90,631","1,50,00,930","1,73,33,809","1,11,72,703","3,47,415","64,94,387","20,68,817","70,13,318","58,63,112","49,02,331",0,0,"45,14,107","33,70,593","39,01,244","23,44,676","24,19,470","1,95,576","26,15,090","20,35,623","19,30,628","18,40,966","18,88,348","17,69,471","15,65,650","15,20,962","15,24,916","13,75,225","11,83,699","6,97,604","6,17,122","6,52,070","6,22,505","6,14,657","5,82,290","6,13,538","5,07,101","5,06,059","4,12,266","3,32,139","3,75,441","3,80,339","3,31,047","3,16,426","3,06,121","2,72,313","3,84,035",0,"2,05,778",51,"2,61,636",73,"4,643",0,"5,478",0,0,"38,722","15,564","4,154","8,719",0,498,0,0,0,0,"58,40,31,904"
4.5. Débitos representados por valores negociables ..........................................................................................................,"4,22,27,548","2,73,47,532","1,85,90,581","2,09,16,885","1,41,99,895","78,35,603","38,73,341",0,"18,27,697","72,10,181","20,06,714","59,68,493","56,617","11,05,687","16,46,044","39,43,341","63,82,139",0,"70,520",0,"2,81,113",0,"25,36,650",0,"1,13,573",0,0,0,0,0,0,0,"31,554",0,0,0,"58,761",0,"11,672",0,0,0,0,0,0,0,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,82,43,019"
4.6. Pasivos subordinados ......................................................................................................................................................................,"1,30,99,184","1,92,67,178","20,46,906","20,09,305","17,43,728","9,86,692","7,04,156","5,26,787","6,51,020","6,53,619",0,0,"2,54,723",0,"3,85,650","9,97,318","30,098",0,0,"14,168",0,"1,78,423","57,541","10,656",0,0,0,"1,62,639","31,548","27,350","82,383",0,0,0,0,0,0,0,0,"1,50,000",0,0,0,0,0,"45,161","10,107",0,0,0,0,0,0,0,0,0,0,"6,025",0,0,0,0,0,0,"3,009",0,0,0,0,0,0,0,"4,41,35,374"
